Year,Qualité de l'eau,Catégorie d'utilisation des sols,Géographie,Value
2018-2020,Excellente,Total,Océan Atlantique,9
2018-2020,Bonne,Total,Océan Atlantique,53
2018-2020,Excellente,Agriculture,Grands Lacs et fleuve Saint-Laurent,3
2018-2020,Bonne,Agriculture,Grands Lacs et fleuve Saint-Laurent,3
2018-2020,Excellente,Foresterie,Grands Lacs et fleuve Saint-Laurent,0
2018-2020,Bonne,Foresterie,Grands Lacs et fleuve Saint-Laurent,2
2018-2020,Excellente,Exploitation minière,Grands Lacs et fleuve Saint-Laurent,0
2018-2020,Bonne,Exploitation minière,Grands Lacs et fleuve Saint-Laurent,3
2018-2020,Excellente,Peuplé,Grands Lacs et fleuve Saint-Laurent,0
2018-2020,Bonne,Peuplé,Grands Lacs et fleuve Saint-Laurent,0
2018-2020,Excellente,Pressions mixtes,Grands Lacs et fleuve Saint-Laurent,0
2018-2020,Bonne,Pressions mixtes,Grands Lacs et fleuve Saint-Laurent,12
2018-2020,Excellente,Non aménagés,Grands Lacs et fleuve Saint-Laurent,2
2018-2020,Bonne,Non aménagés,Grands Lacs et fleuve Saint-Laurent,5
2018-2020,Excellente,Total,Grands Lacs et fleuve Saint-Laurent,5
2018-2020,Bonne,Total,Grands Lacs et fleuve Saint-Laurent,26
2018-2020,Excellente,Agriculture,Baie d'Hudson,0
2018-2020,Bonne,Agriculture,Baie d'Hudson,18
2018-2020,Excellente,Foresterie,Baie d'Hudson,0
2018-2020,Bonne,Foresterie,Baie d'Hudson,0
2018-2020,Excellente,Exploitation minière,Baie d'Hudson,0
2018-2020,Bonne,Exploitation minière,Baie d'Hudson,0
2018-2020,Excellente,Peuplé,Baie d'Hudson,0
2018-2020,Bonne,Peuplé,Baie d'Hudson,0
2018-2020,Excellente,Pressions mixtes,Baie d'Hudson,11
2018-2020,Bonne,Pressions mixtes,Baie d'Hudson,18
2018-2020,Excellente,Non aménagés,Baie d'Hudson,5
2018-2020,Bonne,Non aménagés,Baie d'Hudson,0
2018-2020,Excellente,Total,Baie d'Hudson,16
2018-2020,Bonne,Total,Baie d'Hudson,36
2018-2020,Excellente,Agriculture,Fleuve Mackenzie,0
2018-2020,Bonne,Agriculture,Fleuve Mackenzie,0
2018-2020,Excellente,Foresterie,Fleuve Mackenzie,0
2018-2020,Bonne,Foresterie,Fleuve Mackenzie,0
2018-2020,Excellente,Exploitation minière,Fleuve Mackenzie,6
2018-2020,Bonne,Exploitation minière,Fleuve Mackenzie,6
2018-2020,Excellente,Peuplé,Fleuve Mackenzie,0
2018-2020,Bonne,Peuplé,Fleuve Mackenzie,0
2018-2020,Excellente,Pressions mixtes,Fleuve Mackenzie,6
2018-2020,Bonne,Pressions mixtes,Fleuve Mackenzie,12
2018-2020,Excellente,Non aménagés,Fleuve Mackenzie,6
2018-2020,Bonne,Non aménagés,Fleuve Mackenzie,24
2018-2020,Excellente,Total,Fleuve Mackenzie,18
2018-2020,Bonne,Total,Fleuve Mackenzie,41
2018-2020,Excellente,Agriculture,Océan Pacifique,0
2018-2020,Bonne,Agriculture,Océan Pacifique,0
2018-2020,Excellente,Foresterie,Océan Pacifique,5
2018-2020,Bonne,Foresterie,Océan Pacifique,5
2018-2020,Excellente,Exploitation minière,Océan Pacifique,0
2018-2020,Bonne,Exploitation minière,Océan Pacifique,0
2018-2020,Excellente,Peuplé,Océan Pacifique,0
2018-2020,Bonne,Peuplé,Océan Pacifique,0
2018-2020,Excellente,Mixed Pressures,Océan Pacifique,0
2018-2020,Bonne,Mixed Pressures,Océan Pacifique,19
2018-2020,Excellente,Non aménagés,Océan Pacifique,10
2018-2020,Bonne,Non aménagés,Océan Pacifique,5
2018-2020,Excellente,Total,Océan Pacifique,14
2018-2020,Bonne,Total,Océan Pacifique,29
2018-2020,Total,Agriculture,Océan Atlantique,9
2018-2020,Total,Foresterie,Océan Atlantique,31
2018-2020,Total,Exploitation minière,Océan Atlantique,4
2018-2020,Total,Pressions mixtes,Océan Atlantique,14
2018-2020,Total,Peuplé,Océan Atlantique,0
2018-2020,Total,Non aménagés,Océan Atlantique,30
2018-2020,Total,Agriculture,Grands Lacs et fleuve Saint-Laurent,11
2018-2020,Total,Foresterie,Grands Lacs et fleuve Saint-Laurent,2
2018-2020,Total,Exploitation minière,Grands Lacs et fleuve Saint-Laurent,6
2018-2020,Total,Pressions mixtes,Grands Lacs et fleuve Saint-Laurent,40
2018-2020,Total,Peuplé,Grands Lacs et fleuve Saint-Laurent,2
2018-2020,Total,Non aménagés,Grands Lacs et fleuve Saint-Laurent,9
2018-2020,Total,Agriculture,Baie d'Hudson,41
2018-2020,Total,Foresterie,Baie d'Hudson,0
2018-2020,Total,Exploitation minière,Baie d'Hudson,0
2018-2020,Total,Pressions mixtes,Baie d'Hudson,47
2018-2020,Total,Peuplé,Baie d'Hudson,0
2018-2020,Total,Non aménagés,Baie d'Hudson,5
2018-2020,Total,Agriculture,Fleuve Mackenzie,0
2018-2020,Total,Foresterie,Fleuve Mackenzie,0
2018-2020,Total,Exploitation minière,Fleuve Mackenzie,18
2018-2020,Total,Pressions mixtes,Fleuve Mackenzie,47
2018-2020,Total,Peuplé,Fleuve Mackenzie,0
2018-2020,Total,Non aménagés,Fleuve Mackenzie,36
2018-2020,Total,Agriculture,Océan Pacifique,0
2018-2020,Total,Foresterie,Océan Pacifique,10
2018-2020,Total,Exploitation minière,Océan Pacifique,5
2018-2020,Total,Mixed Pressures,Océan Pacifique,57
2018-2020,Total,Peuplé,Océan Pacifique,0
2018-2020,Total,Non aménagés,Océan Pacifique,15
