Year,Series,Units,Geography,Population centres,GeoCode,Value
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,First Nations reserves Rural areas,10,25.92
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,First Nations reserves Rural areas,46,15.3
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,First Nations reserves Rural areas,47,10.36
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,First Nations reserves Rural areas,60,0.0
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,96.4
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,96.6
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,97.4
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,98.6
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,99.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,99.2
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,38.9
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,37.2
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,40.7
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,45.6
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,54.4
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,62.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,Urban centres,10,97.9
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,Urban centres,11,100.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,Urban centres,12,99.4
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,Urban centres,13,99.9
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,Urban centres,24,99.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,Urban centres,35,99.2
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,Urban centres,46,98.5
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,Urban centres,47,98.3
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,Urban centres,48,98.5
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,Urban centres,59,99.5
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,Urban centres,60,99.2
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,Urban centres,61,84.8
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nunavut,Urban centres,62,
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,Urban centres,10,98.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,Urban centres,11,100.0
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,Urban centres,12,99.3
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,Urban centres,13,99.9
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,Urban centres,24,99.7
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,Urban centres,35,99.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,Urban centres,46,97.4
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,Urban centres,47,99.0
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,Urban centres,48,98.7
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,Urban centres,59,99.4
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,Urban centres,60,99.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,Urban centres,61,97.9
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nunavut,Urban centres,62,
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,Rural areas,10,48.8
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,Rural areas,11,64.2
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,Rural areas,12,58.4
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,Rural areas,13,85.8
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,Rural areas,24,73.4
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,Rural areas,35,41.3
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,Rural areas,46,28.1
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,Rural areas,47,39.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,Rural areas,48,33.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,Rural areas,59,63.2
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,Rural areas,60,12.5
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,Rural areas,61,16.9
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nunavut,Rural areas,62,
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,Rural areas,10,54.0
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,Rural areas,11,79.1
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,Rural areas,12,65.6
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,Rural areas,13,78.9
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,Rural areas,24,76.9
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,Rural areas,35,57.1
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,Rural areas,46,38.8
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,Rural areas,47,48.1
