Year,Causes of death,Age at time of death,Sex,Value
2018,Malignant neoplasms,15 to 19 years,Both sexes,2.2
2018,Diabetes mellitus,15 to 19 years,Both sexes,0.2
2018,Diseases of heart,15 to 19 years,Both sexes,0.7
2018,Essential hypertension and hypertensive renal disease,15 to 19 years,Both sexes,0.0
2018,Cerebrovascular diseases,15 to 19 years,Both sexes,0.3
2018,Atherosclerosis,15 to 19 years,Both sexes,0.0
2018,Aortic aneurysm and dissection,15 to 19 years,Both sexes,0.0
2018,Chronic lower respiratory diseases,15 to 19 years,Both sexes,0.0
2018,Pneumoconioses and chemical effects,15 to 19 years,Both sexes,0.0
2018,Pneumonitis due to solids and liquids,15 to 19 years,Both sexes,0.0
2018,Malignant neoplasms,15 to 19 years,Males,2.2
2018,Diabetes mellitus,15 to 19 years,Males,0.1
2018,Diseases of heart,15 to 19 years,Males,0.9
2018,Essential hypertension and hypertensive renal disease,15 to 19 years,Males,0.0
2018,Cerebrovascular diseases,15 to 19 years,Males,0.4
2018,Atherosclerosis,15 to 19 years,Males,0.0
2018,Aortic aneurysm and dissection,15 to 19 years,Males,0.0
2018,Chronic lower respiratory diseases,15 to 19 years,Males,0.0
2018,Pneumoconioses and chemical effects,15 to 19 years,Males,0.0
2018,Pneumonitis due to solids and liquids,15 to 19 years,Males,0.1
2018,Malignant neoplasms,15 to 19 years,Females,2.2
2018,Diabetes mellitus,15 to 19 years,Females,0.3
2018,Diseases of heart,15 to 19 years,Females,0.5
2018,Essential hypertension and hypertensive renal disease,15 to 19 years,Females,0.0
2018,Cerebrovascular diseases,15 to 19 years,Females,0.2
2018,Atherosclerosis,15 to 19 years,Females,0.0
2018,Aortic aneurysm and dissection,15 to 19 years,Females,0.0
2018,Chronic lower respiratory diseases,15 to 19 years,Females,0.1
2018,Pneumoconioses and chemical effects,15 to 19 years,Females,0.0
2018,Pneumonitis due to solids and liquids,15 to 19 years,Females,0.0
2018,Malignant neoplasms,20 to 24 years,Both sexes,3.2
2018,Diabetes mellitus,20 to 24 years,Both sexes,0.5
2018,Diseases of heart,20 to 24 years,Both sexes,1.4
2018,Essential hypertension and hypertensive renal disease,20 to 24 years,Both sexes,0.0
2018,Cerebrovascular diseases,20 to 24 years,Both sexes,0.3
2018,Atherosclerosis,20 to 24 years,Both sexes,0.0
2018,Aortic aneurysm and dissection,20 to 24 years,Both sexes,0.1
2018,Chronic lower respiratory diseases,20 to 24 years,Both sexes,0.2
2018,Pneumoconioses and chemical effects,20 to 24 years,Both sexes,0.0
2018,Pneumonitis due to solids and liquids,20 to 24 years,Both sexes,0.1
2018,Malignant neoplasms,20 to 24 years,Males,3.9
2018,Diabetes mellitus,20 to 24 years,Males,0.3
2018,Diseases of heart,20 to 24 years,Males,1.7
2018,Essential hypertension and hypertensive renal disease,20 to 24 years,Males,0.0
2018,Cerebrovascular diseases,20 to 24 years,Males,0.5
2018,Atherosclerosis,20 to 24 years,Males,0.0
2018,Aortic aneurysm and dissection,20 to 24 years,Males,0.2
2018,Chronic lower respiratory diseases,20 to 24 years,Males,0.2
2018,Pneumoconioses and chemical effects,20 to 24 years,Males,0.0
2018,Pneumonitis due to solids and liquids,20 to 24 years,Males,0.1
2018,Malignant neoplasms,20 to 24 years,Females,2.5
2018,Diabetes mellitus,20 to 24 years,Females,0.7
2018,Diseases of heart,20 to 24 years,Females,1.0
2018,Essential hypertension and hypertensive renal disease,20 to 24 years,Females,0.0
2018,Cerebrovascular diseases,20 to 24 years,Females,0.2
2018,Atherosclerosis,20 to 24 years,Females,0.0
2018,Aortic aneurysm and dissection,20 to 24 years,Females,0.0
2018,Chronic lower respiratory diseases,20 to 24 years,Females,0.2
2018,Pneumoconioses and chemical effects,20 to 24 years,Females,0.0
2018,Pneumonitis due to solids and liquids,20 to 24 years,Females,0.1
2018,Malignant neoplasms,25 to 34 years,Both sexes,7.1
2018,Diabetes mellitus,25 to 34 years,Both sexes,0.9
2018,Diseases of heart,25 to 34 years,Both sexes,3.4
2018,Essential hypertension and hypertensive renal disease,25 to 34 years,Both sexes,0.0
2018,Cerebrovascular diseases,25 to 34 years,Both sexes,0.4
2018,Atherosclerosis,25 to 34 years,Both sexes,0.0
2018,Aortic aneurysm and dissection,25 to 34 years,Both sexes,0.2
2018,Chronic lower respiratory diseases,25 to 34 years,Both sexes,0.2
2018,Pneumoconioses and chemical effects,25 to 34 years,Both sexes,0.0
