Year,Age group,Sex,Value
2016,90 years and over,Females,7.7
2016,Not stated,Both sexes,0.0
2016,Not stated,Males,0.0
2016,Not stated,Females,0.0
2017,All ages,Males,7.8
2017,All ages,Females,3.3
2017,Under 1 year,Both sexes,0.8
2017,Under 1 year,Males,1.0
2017,Under 1 year,Females,0.5
2017,1 to 4 years,Both sexes,1.9
2017,1 to 4 years,Males,2.1
2017,1 to 4 years,Females,1.7
2017,5 to 9 years,Both sexes,1.2
2017,5 to 9 years,Males,1.2
2017,5 to 9 years,Females,1.2
2017,10 to 14 years,Both sexes,1.1
2017,10 to 14 years,Males,1.2
2017,10 to 14 years,Females,0.9
2017,15 to 19 years,Both sexes,6.2
2017,15 to 19 years,Males,7.8
2017,15 to 19 years,Females,4.4
2017,20 to 24 years,Both sexes,7.7
2017,20 to 24 years,Males,10.9
2017,20 to 24 years,Females,4.3
2017,25 to 29 years,Both sexes,6.6
2017,25 to 29 years,Males,9.8
2017,25 to 29 years,Females,3.3
2017,30 to 34 years,Both sexes,6.7
2017,30 to 34 years,Males,10.8
2017,30 to 34 years,Females,2.7
2017,35 to 39 years,Both sexes,6.5
2017,35 to 39 years,Males,9.5
2017,35 to 39 years,Females,3.5
2017,40 to 44 years,Both sexes,5.1
2017,40 to 44 years,Males,7.7
2017,40 to 44 years,Females,2.7
2017,45 to 49 years,Both sexes,4.6
2017,45 to 49 years,Males,6.7
2017,45 to 49 years,Females,2.5
2017,50 to 54 years,Both sexes,5.7
2017,50 to 54 years,Males,8.3
2017,50 to 54 years,Females,3.1
2017,55 to 59 years,Both sexes,6.1
2017,55 to 59 years,Males,8.8
2017,55 to 59 years,Females,3.4
2017,60 to 64 years,Both sexes,6.2
2017,60 to 64 years,Males,8.9
2017,60 to 64 years,Females,3.6
2017,65 to 69 years,Both sexes,5.3
2017,65 to 69 years,Males,7.2
2017,65 to 69 years,Females,3.4
2017,70 to 74 years,Both sexes,5.7
2017,70 to 74 years,Males,8.3
2017,70 to 74 years,Females,3.4
2017,75 to 79 years,Both sexes,8.2
2017,75 to 79 years,Males,11.0
2017,75 to 79 years,Females,5.8
2017,80 to 84 years,Both sexes,9.7
2017,80 to 84 years,Males,12.5
2017,80 to 84 years,Females,7.6
2017,85 to 89 years,Both sexes,13.2
2017,85 to 89 years,Males,17.7
2017,85 to 89 years,Females,10.3
