Year,Proficiency level,Skill,Geography,Gender,Age group,GeoCode,Value
2012,3 or above,Literacy,Prince Edward Island,Total,45 to 54 years,11,48.8
2012,2 or below,Numeracy,Prince Edward Island,Total,45 to 54 years,11,61.0
2012,3 or above,Numeracy,Prince Edward Island,Total,45 to 54 years,11,39.0
2012,2 or below,Literacy,Prince Edward Island,Total,55 to 65 years,11,55.2
2012,3 or above,Literacy,Prince Edward Island,Total,55 to 65 years,11,44.8
2012,2 or below,Numeracy,Prince Edward Island,Total,55 to 65 years,11,62.9
2012,3 or above,Numeracy,Prince Edward Island,Total,55 to 65 years,11,37.1
2012,2 or below,Literacy,Prince Edward Island,Men+,Total,11,47.6
2012,3 or above,Literacy,Prince Edward Island,Men+,Total,11,52.4
2012,2 or below,Numeracy,Prince Edward Island,Men+,Total,11,54.1
2012,3 or above,Numeracy,Prince Edward Island,Men+,Total,11,45.9
2012,2 or below,Literacy,Prince Edward Island,Men+,16 to 24 years,11,43.6
2012,3 or above,Literacy,Prince Edward Island,Men+,16 to 24 years,11,56.4
2012,2 or below,Numeracy,Prince Edward Island,Men+,16 to 24 years,11,52.1
2012,3 or above,Numeracy,Prince Edward Island,Men+,16 to 24 years,11,47.9
2012,2 or below,Literacy,Prince Edward Island,Men+,25 to 34 years,11,32.6
2012,3 or above,Literacy,Prince Edward Island,Men+,25 to 34 years,11,67.4
2012,2 or below,Numeracy,Prince Edward Island,Men+,25 to 34 years,11,39.9
2012,3 or above,Numeracy,Prince Edward Island,Men+,25 to 34 years,11,60.1
2012,2 or below,Literacy,Prince Edward Island,Men+,35 to 44 years,11,40.9
2012,3 or above,Literacy,Prince Edward Island,Men+,35 to 44 years,11,59.1
2012,2 or below,Numeracy,Prince Edward Island,Men+,35 to 44 years,11,48.9
2012,3 or above,Numeracy,Prince Edward Island,Men+,35 to 44 years,11,51.1
2012,2 or below,Literacy,Prince Edward Island,Men+,45 to 54 years,11,58.8
2012,3 or above,Literacy,Prince Edward Island,Men+,45 to 54 years,11,41.2
2012,2 or below,Numeracy,Prince Edward Island,Men+,45 to 54 years,11,61.6
2012,3 or above,Numeracy,Prince Edward Island,Men+,45 to 54 years,11,38.4
2012,2 or below,Literacy,Prince Edward Island,Men+,55 to 65 years,11,54.4
2012,3 or above,Literacy,Prince Edward Island,Men+,55 to 65 years,11,45.6
2012,2 or below,Numeracy,Prince Edward Island,Men+,55 to 65 years,11,61.4
2012,3 or above,Numeracy,Prince Edward Island,Men+,55 to 65 years,11,38.6
2012,2 or below,Literacy,Prince Edward Island,Women+,Total,11,43.1
2012,3 or above,Literacy,Prince Edward Island,Women+,Total,11,56.9
2012,2 or below,Numeracy,Prince Edward Island,Women+,Total,11,57.4
