Year,Activity related to digital skills,Age group,Highest level of education,Value
2018,Uploaded files or photos to an online data storage space,Internet users aged 15 to 24 years,High school or less,63.5
2018,Uploaded files or photos to an online data storage space,Internet users aged 15 to 24 years,"College, trade school or some university",55.8
2018,Uploaded files or photos to an online data storage space,Internet users aged 15 to 24 years,Bachelor's degree or higher,83.8
2018,Uploaded files or photos to an online data storage space,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",62.8
2018,Uploaded files or photos to an online data storage space,Internet users aged 25 to 44 years,High school or less,45.8
2018,Uploaded files or photos to an online data storage space,Internet users aged 25 to 44 years,"College, trade school or some university",58.0
2018,Uploaded files or photos to an online data storage space,Internet users aged 25 to 44 years,Bachelor's degree or higher,74.3
2018,Uploaded files or photos to an online data storage space,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",40.3
2018,Uploaded files or photos to an online data storage space,Internet users aged 45 to 64 years,High school or less,26.4
2018,Uploaded files or photos to an online data storage space,Internet users aged 45 to 64 years,"College, trade school or some university",38.1
2018,Uploaded files or photos to an online data storage space,Internet users aged 45 to 64 years,Bachelor's degree or higher,53.5
2018,Uploaded files or photos to an online data storage space,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",22.5
2018,Uploaded files or photos to an online data storage space,Internet users aged 65 years and over,High school or less,12.5
2018,Uploaded files or photos to an online data storage space,Internet users aged 65 years and over,"College, trade school or some university",22.4
2018,Uploaded files or photos to an online data storage space,Internet users aged 65 years and over,Bachelor's degree or higher,35.2
2018,Downloaded files from the Internet to your computer or other devices,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",55.6
2018,Downloaded files from the Internet to your computer or other devices,"Total, Internet users aged 15 years and over",High school or less,43.5
2018,Downloaded files from the Internet to your computer or other devices,"Total, Internet users aged 15 years and over","College, trade school or some university",51.7
2018,Downloaded files from the Internet to your computer or other devices,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,70.2
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",69.2
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 15 to 24 years,High school or less,64.9
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 15 to 24 years,"College, trade school or some university",74.8
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 15 to 24 years,Bachelor's degree or higher,81.9
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",70.1
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 25 to 44 years,High school or less,53.1
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 25 to 44 years,"College, trade school or some university",65.3
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 25 to 44 years,Bachelor's degree or higher,81.3
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",47.0
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 45 to 64 years,High school or less,29.2
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 45 to 64 years,"College, trade school or some university",44.1
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 45 to 64 years,Bachelor's degree or higher,64.1
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",28.9
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 65 years and over,High school or less,17.1
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 65 years and over,"College, trade school or some university",27.8
2018,Downloaded files from the Internet to your computer or other devices,Internet users aged 65 years and over,Bachelor's degree or higher,44.2
2018,Shared files using an online data storage space,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",34.9
2018,Shared files using an online data storage space,"Total, Internet users aged 15 years and over",High school or less,27.1
2018,Shared files using an online data storage space,"Total, Internet users aged 15 years and over","College, trade school or some university",28.6
2018,Shared files using an online data storage space,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,48.2
2018,Shared files using an online data storage space,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",51.9
2018,Shared files using an online data storage space,Internet users aged 15 to 24 years,High school or less,50.7
2018,Shared files using an online data storage space,Internet users aged 15 to 24 years,"College, trade school or some university",38.8
2018,Shared files using an online data storage space,Internet users aged 15 to 24 years,Bachelor's degree or higher,74.3
2018,Shared files using an online data storage space,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",48.7
2018,Shared files using an online data storage space,Internet users aged 25 to 44 years,High school or less,30.5
2018,Shared files using an online data storage space,Internet users aged 25 to 44 years,"College, trade school or some university",40.8
2018,Shared files using an online data storage space,Internet users aged 25 to 44 years,Bachelor's degree or higher,62.6
2018,Shared files using an online data storage space,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",25.1
2018,Shared files using an online data storage space,Internet users aged 45 to 64 years,High school or less,11.3
2018,Shared files using an online data storage space,Internet users aged 45 to 64 years,"College, trade school or some university",23.3
2018,Shared files using an online data storage space,Internet users aged 45 to 64 years,Bachelor's degree or higher,37.7
2018,Shared files using an online data storage space,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",9.6
2018,Shared files using an online data storage space,Internet users aged 65 years and over,High school or less,5.4
2018,Shared files using an online data storage space,Internet users aged 65 years and over,"College, trade school or some university",8.9
2018,Shared files using an online data storage space,Internet users aged 65 years and over,Bachelor's degree or higher,16.2
2018,Connected a new device to a Wi-Fi network,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",63.0
2018,Connected a new device to a Wi-Fi network,"Total, Internet users aged 15 years and over",High school or less,56.3
2018,Connected a new device to a Wi-Fi network,"Total, Internet users aged 15 years and over","College, trade school or some university",60.8
2018,Connected a new device to a Wi-Fi network,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,71.4
2018,Connected a new device to a Wi-Fi network,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",80.5
2018,Connected a new device to a Wi-Fi network,Internet users aged 15 to 24 years,High school or less,78.6
2018,Connected a new device to a Wi-Fi network,Internet users aged 15 to 24 years,"College, trade school or some university",82.4
2018,Connected a new device to a Wi-Fi network,Internet users aged 15 to 24 years,Bachelor's degree or higher,85.5
2018,Connected a new device to a Wi-Fi network,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",77.2
2018,Connected a new device to a Wi-Fi network,Internet users aged 25 to 44 years,High school or less,74.5
2018,Connected a new device to a Wi-Fi network,Internet users aged 25 to 44 years,"College, trade school or some university",74.5
2018,Connected a new device to a Wi-Fi network,Internet users aged 25 to 44 years,Bachelor's degree or higher,81.4
2018,Connected a new device to a Wi-Fi network,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",55.9
2018,Connected a new device to a Wi-Fi network,Internet users aged 45 to 64 years,High school or less,40.3
2018,Connected a new device to a Wi-Fi network,Internet users aged 45 to 64 years,"College, trade school or some university",55.4
2018,Connected a new device to a Wi-Fi network,Internet users aged 45 to 64 years,Bachelor's degree or higher,69.1
2018,Connected a new device to a Wi-Fi network,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",30.5
2018,Connected a new device to a Wi-Fi network,Internet users aged 65 years and over,High school or less,21.7
2018,Connected a new device to a Wi-Fi network,Internet users aged 65 years and over,"College, trade school or some university",32.3
2018,Connected a new device to a Wi-Fi network,Internet users aged 65 years and over,Bachelor's degree or higher,38.8
2018,Used the Internet to transfer photos or videos from one device to another,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",56.1
2018,Used the Internet to transfer photos or videos from one device to another,"Total, Internet users aged 15 years and over",High school or less,48.9
2018,Used the Internet to transfer photos or videos from one device to another,"Total, Internet users aged 15 years and over","College, trade school or some university",54.0
2018,Used the Internet to transfer photos or videos from one device to another,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,64.6
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",72.1
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 15 to 24 years,High school or less,72.6
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 15 to 24 years,"College, trade school or some university",63.4
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 15 to 24 years,Bachelor's degree or higher,79.6
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",66.9
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 25 to 44 years,High school or less,53.6
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 25 to 44 years,"College, trade school or some university",64.9
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 25 to 44 years,Bachelor's degree or higher,74.3
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",48.3
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 45 to 64 years,High school or less,35.1
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 45 to 64 years,"College, trade school or some university",49.1
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 45 to 64 years,Bachelor's degree or higher,57.4
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",33.7
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 65 years and over,High school or less,22.8
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 65 years and over,"College, trade school or some university",36.1
2018,Used the Internet to transfer photos or videos from one device to another,Internet users aged 65 years and over,Bachelor's degree or higher,45.0
2018,Used your smartphone as a GPS device for directions,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",69.3
2018,Used your smartphone as a GPS device for directions,"Total, Internet users aged 15 years and over",High school or less,60.8
2018,Used your smartphone as a GPS device for directions,"Total, Internet users aged 15 years and over","College, trade school or some university",68.9
2018,Used your smartphone as a GPS device for directions,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,77.2
