Year,Type of institution attended,Geography,Age group,GeoCode,Value
2015/2016,University,Newfoundland and Labrador,25 to 29 years,10,8
2015/2016,Total participation rate,Prince Edward Island,15 to 19 years,11,83
2015/2016,Elementary/High School,Prince Edward Island,15 to 19 years,11,61
2015/2016,College,Prince Edward Island,15 to 19 years,11,7
2015/2016,University,Prince Edward Island,15 to 19 years,11,15
2015/2016,Total participation rate,Prince Edward Island,20 to 24 years,11,30
2015/2016,College,Prince Edward Island,20 to 24 years,11,7
2015/2016,University,Prince Edward Island,20 to 24 years,11,23
2015/2016,Total participation rate,Prince Edward Island,25 to 29 years,11,10
2015/2016,College,Prince Edward Island,25 to 29 years,11,4
2015/2016,University,Prince Edward Island,25 to 29 years,11,6
2015/2016,Total participation rate,Nova Scotia,15 to 19 years,12,82
2015/2016,Elementary/High School,Nova Scotia,15 to 19 years,12,62
2015/2016,College,Nova Scotia,15 to 19 years,12,6
2015/2016,University,Nova Scotia,15 to 19 years,12,14
2015/2016,Total participation rate,Nova Scotia,20 to 24 years,12,34
2015/2016,College,Nova Scotia,20 to 24 years,12,9
2015/2016,University,Nova Scotia,20 to 24 years,12,25
2015/2016,Total participation rate,Nova Scotia,25 to 29 years,12,11
2015/2016,College,Nova Scotia,25 to 29 years,12,3
2015/2016,University,Nova Scotia,25 to 29 years,12,9
2015/2016,Total participation rate,New Brunswick,15 to 19 years,13,82
2015/2016,Elementary/High School,New Brunswick,15 to 19 years,13,62
2015/2016,College,New Brunswick,15 to 19 years,13,7
2015/2016,University,New Brunswick,15 to 19 years,13,13
2015/2016,Total participation rate,New Brunswick,20 to 24 years,13,35
2015/2016,College,New Brunswick,20 to 24 years,13,8
2015/2016,University,New Brunswick,20 to 24 years,13,26
2015/2016,Total participation rate,New Brunswick,25 to 29 years,13,7
2015/2016,College,New Brunswick,25 to 29 years,13,2
2015/2016,University,New Brunswick,25 to 29 years,13,5
2015/2016,Total participation rate,Quebec,15 to 19 years,24,81
2015/2016,Elementary/High School,Quebec,15 to 19 years,24,51
2015/2016,College,Quebec,15 to 19 years,24,27
2015/2016,University,Quebec,15 to 19 years,24,3
2015/2016,Total participation rate,Quebec,20 to 24 years,24,46
2015/2016,Elementary/High School,Quebec,20 to 24 years,24,4
2015/2016,College,Quebec,20 to 24 years,24,12
2015/2016,University,Quebec,20 to 24 years,24,30
2015/2016,Total participation rate,Quebec,25 to 29 years,24,16
2015/2016,Elementary/High School,Quebec,25 to 29 years,24,2
2015/2016,College,Quebec,25 to 29 years,24,3
2015/2016,University,Quebec,25 to 29 years,24,12
2015/2016,Total participation rate,Ontario,15 to 19 years,35,87
2015/2016,Elementary/High School,Ontario,15 to 19 years,35,62
2015/2016,College,Ontario,15 to 19 years,35,9
2015/2016,University,Ontario,15 to 19 years,35,16
2015/2016,Total participation rate,Ontario,20 to 24 years,35,43
2015/2016,Elementary/High School,Ontario,20 to 24 years,35,1
2015/2016,College,Ontario,20 to 24 years,35,14
2015/2016,University,Ontario,20 to 24 years,35,28
2015/2016,Total participation rate,Ontario,25 to 29 years,35,12
2015/2016,Elementary/High School,Ontario,25 to 29 years,35,0
2015/2016,College,Ontario,25 to 29 years,35,5
2015/2016,University,Ontario,25 to 29 years,35,6
2015/2016,Total participation rate,Manitoba,15 to 19 years,46,78
2015/2016,Elementary/High School,Manitoba,15 to 19 years,46,62
2015/2016,College,Manitoba,15 to 19 years,46,4
2015/2016,University,Manitoba,15 to 19 years,46,12
2015/2016,Total participation rate,Manitoba,20 to 24 years,46,34
2015/2016,Elementary/High School,Manitoba,20 to 24 years,46,2
2015/2016,College,Manitoba,20 to 24 years,46,7
2015/2016,University,Manitoba,20 to 24 years,46,25
2015/2016,Total participation rate,Manitoba,25 to 29 years,46,12
2015/2016,College,Manitoba,25 to 29 years,46,3
2015/2016,University,Manitoba,25 to 29 years,46,8
2015/2016,Total participation rate,Saskatchewan,15 to 19 years,47,78
2015/2016,Elementary/High School,Saskatchewan,15 to 19 years,47,62
2015/2016,College,Saskatchewan,15 to 19 years,47,5
2015/2016,University,Saskatchewan,15 to 19 years,47,11
2015/2016,Total participation rate,Saskatchewan,20 to 24 years,47,30
2015/2016,Elementary/High School,Saskatchewan,20 to 24 years,47,2
2015/2016,College,Saskatchewan,20 to 24 years,47,7
2015/2016,University,Saskatchewan,20 to 24 years,47,22
2015/2016,Total participation rate,Saskatchewan,25 to 29 years,47,10
2015/2016,College,Saskatchewan,25 to 29 years,47,2
2015/2016,University,Saskatchewan,25 to 29 years,47,7
2015/2016,Total participation rate,Alberta,15 to 19 years,48,80
2015/2016,Elementary/High School,Alberta,15 to 19 years,48,65
2015/2016,College,Alberta,15 to 19 years,48,5
2015/2016,University,Alberta,15 to 19 years,48,10
2015/2016,Total participation rate,Alberta,20 to 24 years,48,30
2015/2016,Elementary/High School,Alberta,20 to 24 years,48,1
2015/2016,College,Alberta,20 to 24 years,48,8
2015/2016,University,Alberta,20 to 24 years,48,21
2015/2016,Total participation rate,Alberta,25 to 29 years,48,8
2015/2016,College,Alberta,25 to 29 years,48,3
2015/2016,University,Alberta,25 to 29 years,48,6
2015/2016,Total participation rate,British Columbia,15 to 19 years,59,80
2015/2016,Elementary/High School,British Columbia,15 to 19 years,59,60
2015/2016,College,British Columbia,15 to 19 years,59,7
2015/2016,University,British Columbia,15 to 19 years,59,14
2015/2016,Total participation rate,British Columbia,20 to 24 years,59,37
2015/2016,Elementary/High School,British Columbia,20 to 24 years,59,1
2015/2016,College,British Columbia,20 to 24 years,59,11
2015/2016,University,British Columbia,20 to 24 years,59,26
2015/2016,Total participation rate,British Columbia,25 to 29 years,59,11
2015/2016,College,British Columbia,25 to 29 years,59,3
2015/2016,University,British Columbia,25 to 29 years,59,7
2015/2016,Total participation rate,Yukon,15 to 19 years,60,82
2015/2016,Elementary/High School,Yukon,15 to 19 years,60,59
2015/2016,College,Yukon,15 to 19 years,60,12
2015/2016,University,Yukon,15 to 19 years,60,11
2015/2016,Total participation rate,Yukon,20 to 24 years,60,26
2015/2016,College,Yukon,20 to 24 years,60,12
2015/2016,University,Yukon,20 to 24 years,60,13
2015/2016,Total participation rate,Northwest Territories,15 to 19 years,61,77
2015/2016,Elementary/High School,Northwest Territories,15 to 19 years,61,65
2015/2016,Total participation rate,Northwest Territories,20 to 24 years,61,19
2015/2016,University,Northwest Territories,20 to 24 years,61,14
2015/2016,Total participation rate,Nunavut,15 to 19 years,62,68
2015/2016,Elementary/High School,Nunavut,15 to 19 years,62,65
2015/2016,Total participation rate,Nunavut,20 to 24 years,62,10
2016/2017,Total participation rate,Canada,15 to 19 years,,85
2016/2017,Elementary/High School,Canada,15 to 19 years,,59
2016/2017,College,Canada,15 to 19 years,,13
2016/2017,University,Canada,15 to 19 years,,13
2016/2017,Total participation rate,Canada,20 to 24 years,,41
2016/2017,Elementary/High School,Canada,20 to 24 years,,2
2016/2017,College,Canada,20 to 24 years,,12
2016/2017,University,Canada,20 to 24 years,,28
2016/2017,Total participation rate,Canada,25 to 29 years,,12
2016/2017,Elementary/High School,Canada,25 to 29 years,,0
2016/2017,College,Canada,25 to 29 years,,4
2016/2017,University,Canada,25 to 29 years,,8
