Year,Type of institution attended,Geography,Age group,GeoCode,Value
2021/2022,College,Newfoundland and Labrador,20 to 24 years,10,10
2021/2022,University,Newfoundland and Labrador,20 to 24 years,10,31
2021/2022,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,12
2021/2022,University,Newfoundland and Labrador,25 to 29 years,10,10
2021/2022,Total participation rate,Prince Edward Island,15 to 19 years,11,85
2021/2022,Elementary/High School,Prince Edward Island,15 to 19 years,11,62
2021/2022,College,Prince Edward Island,15 to 19 years,11,8
2021/2022,University,Prince Edward Island,15 to 19 years,11,16
2021/2022,Total participation rate,Prince Edward Island,20 to 24 years,11,36
2021/2022,College,Prince Edward Island,20 to 24 years,11,7
2021/2022,University,Prince Edward Island,20 to 24 years,11,28
2021/2022,Total participation rate,Prince Edward Island,25 to 29 years,11,12
2021/2022,College,Prince Edward Island,25 to 29 years,11,4
2021/2022,University,Prince Edward Island,25 to 29 years,11,8
2021/2022,Total participation rate,Nova Scotia,15 to 19 years,12,83
2021/2022,Elementary/High School,Nova Scotia,15 to 19 years,12,60
2021/2022,College,Nova Scotia,15 to 19 years,12,9
2021/2022,University,Nova Scotia,15 to 19 years,12,13
2021/2022,Total participation rate,Nova Scotia,20 to 24 years,12,38
2021/2022,College,Nova Scotia,20 to 24 years,12,10
2021/2022,University,Nova Scotia,20 to 24 years,12,28
2021/2022,Total participation rate,Nova Scotia,25 to 29 years,12,12
2021/2022,College,Nova Scotia,25 to 29 years,12,2
2021/2022,University,Nova Scotia,25 to 29 years,12,10
2021/2022,Total participation rate,New Brunswick,15 to 19 years,13,81
2021/2022,Elementary/High School,New Brunswick,15 to 19 years,13,60
2021/2022,College,New Brunswick,15 to 19 years,13,6
2021/2022,University,New Brunswick,15 to 19 years,13,14
2021/2022,Total participation rate,New Brunswick,20 to 24 years,13,30
2021/2022,College,New Brunswick,20 to 24 years,13,8
2021/2022,University,New Brunswick,20 to 24 years,13,21
2021/2022,Total participation rate,New Brunswick,25 to 29 years,13,8
2021/2022,College,New Brunswick,25 to 29 years,13,3
2021/2022,University,New Brunswick,25 to 29 years,13,4
2021/2022,Total participation rate,Quebec,15 to 19 years,24,84
2021/2022,Elementary/High School,Quebec,15 to 19 years,24,50
2021/2022,College,Quebec,15 to 19 years,24,31
2021/2022,University,Quebec,15 to 19 years,24,3
2021/2022,Total participation rate,Quebec,20 to 24 years,24,49
2021/2022,Elementary/High School,Quebec,20 to 24 years,24,2
2021/2022,College,Quebec,20 to 24 years,24,13
2021/2022,University,Quebec,20 to 24 years,24,35
2021/2022,Total participation rate,Quebec,25 to 29 years,24,15
2021/2022,Elementary/High School,Quebec,25 to 29 years,24,1
2021/2022,College,Quebec,25 to 29 years,24,3
2021/2022,University,Quebec,25 to 29 years,24,12
2021/2022,Total participation rate,Ontario,15 to 19 years,35,87
2021/2022,Elementary/High School,Ontario,15 to 19 years,35,61
2021/2022,College,Ontario,15 to 19 years,35,7
2021/2022,University,Ontario,15 to 19 years,35,19
2021/2022,Total participation rate,Ontario,20 to 24 years,35,45
2021/2022,Elementary/High School,Ontario,20 to 24 years,35,1
2021/2022,College,Ontario,20 to 24 years,35,11
2021/2022,University,Ontario,20 to 24 years,35,33
2021/2022,Total participation rate,Ontario,25 to 29 years,35,11
2021/2022,Elementary/High School,Ontario,25 to 29 years,35,0
2021/2022,College,Ontario,25 to 29 years,35,5
2021/2022,University,Ontario,25 to 29 years,35,7
2021/2022,Total participation rate,Manitoba,15 to 19 years,46,80
2021/2022,Elementary/High School,Manitoba,15 to 19 years,46,62
2021/2022,College,Manitoba,15 to 19 years,46,4
2021/2022,University,Manitoba,15 to 19 years,46,14
2021/2022,Total participation rate,Manitoba,20 to 24 years,46,38
2021/2022,Elementary/High School,Manitoba,20 to 24 years,46,1
2021/2022,College,Manitoba,20 to 24 years,46,7
2021/2022,University,Manitoba,20 to 24 years,46,30
2021/2022,Total participation rate,Manitoba,25 to 29 years,46,11
2021/2022,College,Manitoba,25 to 29 years,46,3
2021/2022,University,Manitoba,25 to 29 years,46,8
2021/2022,Total participation rate,Saskatchewan,15 to 19 years,47,83
2021/2022,Elementary/High School,Saskatchewan,15 to 19 years,47,67
2021/2022,College,Saskatchewan,15 to 19 years,47,3
2021/2022,University,Saskatchewan,15 to 19 years,47,12
2021/2022,Total participation rate,Saskatchewan,20 to 24 years,47,35
2021/2022,Elementary/High School,Saskatchewan,20 to 24 years,47,1
2021/2022,College,Saskatchewan,20 to 24 years,47,3
2021/2022,University,Saskatchewan,20 to 24 years,47,31
2021/2022,Total participation rate,Saskatchewan,25 to 29 years,47,12
2021/2022,College,Saskatchewan,25 to 29 years,47,3
2021/2022,University,Saskatchewan,25 to 29 years,47,9
2021/2022,Total participation rate,Alberta,15 to 19 years,48,81
2021/2022,Elementary/High School,Alberta,15 to 19 years,48,64
2021/2022,College,Alberta,15 to 19 years,48,3
2021/2022,University,Alberta,15 to 19 years,48,14
2021/2022,Total participation rate,Alberta,20 to 24 years,48,44
2021/2022,College,Alberta,20 to 24 years,48,8
2021/2022,University,Alberta,20 to 24 years,48,35
2021/2022,Total participation rate,Alberta,25 to 29 years,48,13
2021/2022,College,Alberta,25 to 29 years,48,4
2021/2022,University,Alberta,25 to 29 years,48,8
2021/2022,Total participation rate,British Columbia,15 to 19 years,59,82
2021/2022,Elementary/High School,British Columbia,15 to 19 years,59,58
2021/2022,College,British Columbia,15 to 19 years,59,6
2021/2022,University,British Columbia,15 to 19 years,59,18
2021/2022,Total participation rate,British Columbia,20 to 24 years,59,41
2021/2022,College,British Columbia,20 to 24 years,59,8
2021/2022,University,British Columbia,20 to 24 years,59,33
2021/2022,Total participation rate,British Columbia,25 to 29 years,59,12
2021/2022,College,British Columbia,25 to 29 years,59,3
2021/2022,University,British Columbia,25 to 29 years,59,8
2021/2022,Total participation rate,Yukon,15 to 19 years,60,76
2021/2022,Elementary/High School,Yukon,15 to 19 years,60,67
2021/2022,Total participation rate,Yukon,20 to 24 years,60,36
2021/2022,University,Yukon,20 to 24 years,60,34
2021/2022,Total participation rate,Northwest Territories,15 to 19 years,61,65
2021/2022,Elementary/High School,Northwest Territories,15 to 19 years,61,59
2021/2022,Total participation rate,Northwest Territories,20 to 24 years,61,26
2021/2022,University,Northwest Territories,20 to 24 years,61,19
2021/2022,Total participation rate,Northwest Territories,25 to 29 years,61,8
2021/2022,Total participation rate,Nunavut,15 to 19 years,62,69
2021/2022,Elementary/High School,Nunavut,15 to 19 years,62,61
2021/2022,University,Nunavut,15 to 19 years,62,7
2021/2022,Total participation rate,Nunavut,20 to 24 years,62,13
2021/2022,University,Nunavut,20 to 24 years,62,8
2021/2022,Total participation rate,Nunavut,25 to 29 years,62,14
2021/2022,College,Nunavut,25 to 29 years,62,10
2022/2023,Total participation rate,Canada,15 to 19 years,,84
2022/2023,Elementary/High School,Canada,15 to 19 years,,59
2022/2023,College,Canada,15 to 19 years,,11
2022/2023,University,Canada,15 to 19 years,,13
2022/2023,Total participation rate,Canada,20 to 24 years,,41
2022/2023,Elementary/High School,Canada,20 to 24 years,,1
2022/2023,College,Canada,20 to 24 years,,11
2022/2023,University,Canada,20 to 24 years,,30
2022/2023,Total participation rate,Canada,25 to 29 years,,12
2022/2023,Elementary/High School,Canada,25 to 29 years,,0
2022/2023,College,Canada,25 to 29 years,,3
2022/2023,University,Canada,25 to 29 years,,8
2022/2023,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,87
2022/2023,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,65
2022/2023,College,Newfoundland and Labrador,15 to 19 years,10,5
2022/2023,University,Newfoundland and Labrador,15 to 19 years,10,17
2022/2023,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,42
2022/2023,College,Newfoundland and Labrador,20 to 24 years,10,11
2022/2023,University,Newfoundland and Labrador,20 to 24 years,10,30
2022/2023,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,10
2022/2023,College,Newfoundland and Labrador,25 to 29 years,10,3
2022/2023,University,Newfoundland and Labrador,25 to 29 years,10,7
2022/2023,Total participation rate,Prince Edward Island,15 to 19 years,11,80
2022/2023,Elementary/High School,Prince Edward Island,15 to 19 years,11,58
2022/2023,College,Prince Edward Island,15 to 19 years,11,8
2022/2023,University,Prince Edward Island,15 to 19 years,11,14
2022/2023,Total participation rate,Prince Edward Island,20 to 24 years,11,41
2022/2023,College,Prince Edward Island,20 to 24 years,11,8
2022/2023,University,Prince Edward Island,20 to 24 years,11,32
2022/2023,Total participation rate,Prince Edward Island,25 to 29 years,11,10
2022/2023,College,Prince Edward Island,25 to 29 years,11,3
2022/2023,University,Prince Edward Island,25 to 29 years,11,7
2022/2023,Total participation rate,Nova Scotia,15 to 19 years,12,81
2022/2023,Elementary/High School,Nova Scotia,15 to 19 years,12,61
2022/2023,College,Nova Scotia,15 to 19 years,12,6
2022/2023,University,Nova Scotia,15 to 19 years,12,15
2022/2023,Total participation rate,Nova Scotia,20 to 24 years,12,35
2022/2023,College,Nova Scotia,20 to 24 years,12,6
2022/2023,University,Nova Scotia,20 to 24 years,12,29
2022/2023,Total participation rate,Nova Scotia,25 to 29 years,12,12
2022/2023,College,Nova Scotia,25 to 29 years,12,2
2022/2023,University,Nova Scotia,25 to 29 years,12,10
2022/2023,Total participation rate,New Brunswick,15 to 19 years,13,80
2022/2023,Elementary/High School,New Brunswick,15 to 19 years,13,60
2022/2023,College,New Brunswick,15 to 19 years,13,8
2022/2023,University,New Brunswick,15 to 19 years,13,12
2022/2023,Total participation rate,New Brunswick,20 to 24 years,13,29
2022/2023,College,New Brunswick,20 to 24 years,13,7
2022/2023,University,New Brunswick,20 to 24 years,13,22
2022/2023,Total participation rate,New Brunswick,25 to 29 years,13,9
2022/2023,College,New Brunswick,25 to 29 years,13,3
2022/2023,University,New Brunswick,25 to 29 years,13,6
2022/2023,Total participation rate,Quebec,15 to 19 years,24,85
2022/2023,Elementary/High School,Quebec,15 to 19 years,24,50
2022/2023,College,Quebec,15 to 19 years,24,31
2022/2023,University,Quebec,15 to 19 years,24,3
2022/2023,Total participation rate,Quebec,20 to 24 years,24,48
2022/2023,Elementary/High School,Quebec,20 to 24 years,24,2
2022/2023,College,Quebec,20 to 24 years,24,14
2022/2023,University,Quebec,20 to 24 years,24,32
2022/2023,Total participation rate,Quebec,25 to 29 years,24,16
2022/2023,Elementary/High School,Quebec,25 to 29 years,24,0
2022/2023,College,Quebec,25 to 29 years,24,3
2022/2023,University,Quebec,25 to 29 years,24,13
2022/2023,Total participation rate,Ontario,15 to 19 years,35,87
2022/2023,Elementary/High School,Ontario,15 to 19 years,35,62
2022/2023,College,Ontario,15 to 19 years,35,7
2022/2023,University,Ontario,15 to 19 years,35,18
2022/2023,Total participation rate,Ontario,20 to 24 years,35,42
2022/2023,Elementary/High School,Ontario,20 to 24 years,35,1
2022/2023,College,Ontario,20 to 24 years,35,12
2022/2023,University,Ontario,20 to 24 years,35,30
2022/2023,Total participation rate,Ontario,25 to 29 years,35,11
2022/2023,Elementary/High School,Ontario,25 to 29 years,35,0
2022/2023,College,Ontario,25 to 29 years,35,4
2022/2023,University,Ontario,25 to 29 years,35,6
2022/2023,Total participation rate,Manitoba,15 to 19 years,46,79
2022/2023,Elementary/High School,Manitoba,15 to 19 years,46,62
2022/2023,College,Manitoba,15 to 19 years,46,2
2022/2023,University,Manitoba,15 to 19 years,46,15
2022/2023,Total participation rate,Manitoba,20 to 24 years,46,31
2022/2023,Elementary/High School,Manitoba,20 to 24 years,46,1
2022/2023,College,Manitoba,20 to 24 years,46,6
2022/2023,University,Manitoba,20 to 24 years,46,24
2022/2023,Total participation rate,Manitoba,25 to 29 years,46,11
2022/2023,College,Manitoba,25 to 29 years,46,3
2022/2023,University,Manitoba,25 to 29 years,46,8
2022/2023,Total participation rate,Saskatchewan,15 to 19 years,47,80
2022/2023,Elementary/High School,Saskatchewan,15 to 19 years,47,62
2022/2023,College,Saskatchewan,15 to 19 years,47,3
2022/2023,University,Saskatchewan,15 to 19 years,47,16
2022/2023,Total participation rate,Saskatchewan,20 to 24 years,47,36
2022/2023,Elementary/High School,Saskatchewan,20 to 24 years,47,2
2022/2023,College,Saskatchewan,20 to 24 years,47,6
2022/2023,University,Saskatchewan,20 to 24 years,47,29
2022/2023,Total participation rate,Saskatchewan,25 to 29 years,47,10
2022/2023,College,Saskatchewan,25 to 29 years,47,2
2022/2023,University,Saskatchewan,25 to 29 years,47,8
2022/2023,Total participation rate,Alberta,15 to 19 years,48,79
2022/2023,Elementary/High School,Alberta,15 to 19 years,48,62
2022/2023,College,Alberta,15 to 19 years,48,5
2022/2023,University,Alberta,15 to 19 years,48,12
2022/2023,Total participation rate,Alberta,20 to 24 years,48,35
2022/2023,Elementary/High School,Alberta,20 to 24 years,48,1
2022/2023,College,Alberta,20 to 24 years,48,8
2022/2023,University,Alberta,20 to 24 years,48,27
2022/2023,Total participation rate,Alberta,25 to 29 years,48,9
2022/2023,College,Alberta,25 to 29 years,48,2
2022/2023,University,Alberta,25 to 29 years,48,7
2022/2023,Total participation rate,British Columbia,15 to 19 years,59,81
2022/2023,Elementary/High School,British Columbia,15 to 19 years,59,59
2022/2023,College,British Columbia,15 to 19 years,59,6
2022/2023,University,British Columbia,15 to 19 years,59,16
2022/2023,Total participation rate,British Columbia,20 to 24 years,59,40
2022/2023,Elementary/High School,British Columbia,20 to 24 years,59,0
2022/2023,College,British Columbia,20 to 24 years,59,8
2022/2023,University,British Columbia,20 to 24 years,59,31
2022/2023,Total participation rate,British Columbia,25 to 29 years,59,13
2022/2023,College,British Columbia,25 to 29 years,59,4
2022/2023,University,British Columbia,25 to 29 years,59,9
2022/2023,Total participation rate,Yukon,15 to 19 years,60,81
2022/2023,Elementary/High School,Yukon,15 to 19 years,60,64
2022/2023,University,Yukon,15 to 19 years,60,15
2022/2023,Total participation rate,Yukon,20 to 24 years,60,31
2022/2023,University,Yukon,20 to 24 years,60,21
2022/2023,Total participation rate,Yukon,25 to 29 years,60,12
2022/2023,University,Yukon,25 to 29 years,60,9
2022/2023,Total participation rate,Northwest Territories,15 to 19 years,61,83
2022/2023,Elementary/High School,Northwest Territories,15 to 19 years,61,74
2022/2023,Total participation rate,Northwest Territories,20 to 24 years,61,28
2022/2023,University,Northwest Territories,20 to 24 years,61,20
2022/2023,Total participation rate,Northwest Territories,25 to 29 years,61,13
2022/2023,University,Northwest Territories,25 to 29 years,61,10
2022/2023,Total participation rate,Nunavut,15 to 19 years,62,63
2022/2023,Elementary/High School,Nunavut,15 to 19 years,62,61
2022/2023,Total participation rate,Nunavut,20 to 24 years,62,12
2023/2024,Total participation rate,Canada,15 to 19 years,,84
2023/2024,Elementary/High School,Canada,15 to 19 years,,58
2023/2024,College,Canada,15 to 19 years,,11
2023/2024,University,Canada,15 to 19 years,,15
2023/2024,Total participation rate,Canada,20 to 24 years,,43
2023/2024,Elementary/High School,Canada,20 to 24 years,,1
2023/2024,College,Canada,20 to 24 years,,11
2023/2024,University,Canada,20 to 24 years,,31
2023/2024,Total participation rate,Canada,25 to 29 years,,12
2023/2024,Elementary/High School,Canada,25 to 29 years,,0
2023/2024,College,Canada,25 to 29 years,,4
2023/2024,University,Canada,25 to 29 years,,8
2023/2024,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,83
2023/2024,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,61
2023/2024,College,Newfoundland and Labrador,15 to 19 years,10,9
2023/2024,University,Newfoundland and Labrador,15 to 19 years,10,14
2023/2024,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,42
2023/2024,College,Newfoundland and Labrador,20 to 24 years,10,11
2023/2024,University,Newfoundland and Labrador,20 to 24 years,10,30
2023/2024,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,12
2023/2024,College,Newfoundland and Labrador,25 to 29 years,10,3
2023/2024,University,Newfoundland and Labrador,25 to 29 years,10,9
2023/2024,Total participation rate,Prince Edward Island,15 to 19 years,11,82
2023/2024,Elementary/High School,Prince Edward Island,15 to 19 years,11,59
2023/2024,College,Prince Edward Island,15 to 19 years,11,5
2023/2024,University,Prince Edward Island,15 to 19 years,11,18
2023/2024,Total participation rate,Prince Edward Island,20 to 24 years,11,36
2023/2024,College,Prince Edward Island,20 to 24 years,11,9
2023/2024,University,Prince Edward Island,20 to 24 years,11,27
2023/2024,Total participation rate,Prince Edward Island,25 to 29 years,11,6
2023/2024,College,Prince Edward Island,25 to 29 years,11,3
2023/2024,University,Prince Edward Island,25 to 29 years,11,3
2023/2024,Total participation rate,Nova Scotia,15 to 19 years,12,81
2023/2024,Elementary/High School,Nova Scotia,15 to 19 years,12,60
2023/2024,College,Nova Scotia,15 to 19 years,12,6
2023/2024,University,Nova Scotia,15 to 19 years,12,15
2023/2024,Total participation rate,Nova Scotia,20 to 24 years,12,34
2023/2024,Elementary/High School,Nova Scotia,20 to 24 years,12,1
2023/2024,College,Nova Scotia,20 to 24 years,12,8
2023/2024,University,Nova Scotia,20 to 24 years,12,26
2023/2024,Total participation rate,Nova Scotia,25 to 29 years,12,13
2023/2024,College,Nova Scotia,25 to 29 years,12,3
2023/2024,University,Nova Scotia,25 to 29 years,12,10
2023/2024,Total participation rate,New Brunswick,15 to 19 years,13,80
2023/2024,Elementary/High School,New Brunswick,15 to 19 years,13,62
2023/2024,College,New Brunswick,15 to 19 years,13,8
2023/2024,University,New Brunswick,15 to 19 years,13,11
2023/2024,Total participation rate,New Brunswick,20 to 24 years,13,33
2023/2024,College,New Brunswick,20 to 24 years,13,9
2023/2024,University,New Brunswick,20 to 24 years,13,23
2023/2024,Total participation rate,New Brunswick,25 to 29 years,13,7
2023/2024,College,New Brunswick,25 to 29 years,13,3
2023/2024,University,New Brunswick,25 to 29 years,13,4
2023/2024,Total participation rate,Quebec,15 to 19 years,24,84
2023/2024,Elementary/High School,Quebec,15 to 19 years,24,50
2023/2024,College,Quebec,15 to 19 years,24,30
2023/2024,University,Quebec,15 to 19 years,24,4
2023/2024,Total participation rate,Quebec,20 to 24 years,24,44
2023/2024,Elementary/High School,Quebec,20 to 24 years,24,2
2023/2024,College,Quebec,20 to 24 years,24,13
2023/2024,University,Quebec,20 to 24 years,24,29
2023/2024,Total participation rate,Quebec,25 to 29 years,24,14
2023/2024,Elementary/High School,Quebec,25 to 29 years,24,0
2023/2024,College,Quebec,25 to 29 years,24,3
2023/2024,University,Quebec,25 to 29 years,24,10
2023/2024,Total participation rate,Ontario,15 to 19 years,35,87
2023/2024,Elementary/High School,Ontario,15 to 19 years,35,61
2023/2024,College,Ontario,15 to 19 years,35,7
2023/2024,University,Ontario,15 to 19 years,35,20
2023/2024,Total participation rate,Ontario,20 to 24 years,35,47
2023/2024,Elementary/High School,Ontario,20 to 24 years,35,1
2023/2024,College,Ontario,20 to 24 years,35,13
2023/2024,University,Ontario,20 to 24 years,35,33
2023/2024,Total participation rate,Ontario,25 to 29 years,35,12
2023/2024,Elementary/High School,Ontario,25 to 29 years,35,0
2023/2024,College,Ontario,25 to 29 years,35,4
2023/2024,University,Ontario,25 to 29 years,35,7
2023/2024,Total participation rate,Manitoba,15 to 19 years,46,80
2023/2024,Elementary/High School,Manitoba,15 to 19 years,46,60
2023/2024,College,Manitoba,15 to 19 years,46,3
2023/2024,University,Manitoba,15 to 19 years,46,17
2023/2024,Total participation rate,Manitoba,20 to 24 years,46,38
2023/2024,Elementary/High School,Manitoba,20 to 24 years,46,1
2023/2024,College,Manitoba,20 to 24 years,46,7
2023/2024,University,Manitoba,20 to 24 years,46,30
2023/2024,Total participation rate,Manitoba,25 to 29 years,46,8
2023/2024,College,Manitoba,25 to 29 years,46,2
2023/2024,University,Manitoba,25 to 29 years,46,5
2023/2024,Total participation rate,Saskatchewan,15 to 19 years,47,81
2023/2024,Elementary/High School,Saskatchewan,15 to 19 years,47,66
2023/2024,College,Saskatchewan,15 to 19 years,47,3
2023/2024,University,Saskatchewan,15 to 19 years,47,13
2023/2024,Total participation rate,Saskatchewan,20 to 24 years,47,37
2023/2024,Elementary/High School,Saskatchewan,20 to 24 years,47,1
2023/2024,College,Saskatchewan,20 to 24 years,47,6
2023/2024,University,Saskatchewan,20 to 24 years,47,29
2023/2024,Total participation rate,Saskatchewan,25 to 29 years,47,10
2023/2024,College,Saskatchewan,25 to 29 years,47,3
2023/2024,University,Saskatchewan,25 to 29 years,47,8
2023/2024,Total participation rate,Alberta,15 to 19 years,48,81
2023/2024,Elementary/High School,Alberta,15 to 19 years,48,63
2023/2024,College,Alberta,15 to 19 years,48,4
2023/2024,University,Alberta,15 to 19 years,48,14
2023/2024,Total participation rate,Alberta,20 to 24 years,48,36
2023/2024,Elementary/High School,Alberta,20 to 24 years,48,1
2023/2024,College,Alberta,20 to 24 years,48,9
2023/2024,University,Alberta,20 to 24 years,48,26
2023/2024,Total participation rate,Alberta,25 to 29 years,48,10
2023/2024,College,Alberta,25 to 29 years,48,4
2023/2024,University,Alberta,25 to 29 years,48,5
2023/2024,Total participation rate,British Columbia,15 to 19 years,59,80
2023/2024,Elementary/High School,British Columbia,15 to 19 years,59,58
2023/2024,College,British Columbia,15 to 19 years,59,6
2023/2024,University,British Columbia,15 to 19 years,59,17
2023/2024,Total participation rate,British Columbia,20 to 24 years,59,42
2023/2024,Elementary/High School,British Columbia,20 to 24 years,59,1
2023/2024,College,British Columbia,20 to 24 years,59,9
2023/2024,University,British Columbia,20 to 24 years,59,32
2023/2024,Total participation rate,British Columbia,25 to 29 years,59,11
2023/2024,College,British Columbia,25 to 29 years,59,4
2023/2024,University,British Columbia,25 to 29 years,59,7
2023/2024,Total participation rate,Yukon,15 to 19 years,60,77
2023/2024,Elementary/High School,Yukon,15 to 19 years,60,60
2023/2024,University,Yukon,15 to 19 years,60,12
2023/2024,Total participation rate,Yukon,20 to 24 years,60,28
2023/2024,University,Yukon,20 to 24 years,60,20
2023/2024,Total participation rate,Yukon,25 to 29 years,60,11
2023/2024,University,Yukon,25 to 29 years,60,8
2023/2024,Total participation rate,Northwest Territories,15 to 19 years,61,69
2023/2024,Elementary/High School,Northwest Territories,15 to 19 years,61,60
2023/2024,University,Northwest Territories,15 to 19 years,61,7
2023/2024,Total participation rate,Northwest Territories,20 to 24 years,61,42
2023/2024,College,Northwest Territories,20 to 24 years,61,13
2023/2024,University,Northwest Territories,20 to 24 years,61,28
2023/2024,Total participation rate,Nunavut,15 to 19 years,62,56
2023/2024,Elementary/High School,Nunavut,15 to 19 years,62,52
2023/2024,Total participation rate,Nunavut,20 to 24 years,62,9
2023/2024,Total participation rate,Nunavut,25 to 29 years,62,8
2014/2015,Total participation rate,Canada,30 to 34 years,,7
2014/2015,Elementary and/or High School,Canada,30 to 34 years,,0
2014/2015,College,Canada,30 to 34 years,,2
2014/2015,University,Canada,30 to 34 years,,4
2014/2015,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,3
2014/2015,University,Newfoundland and Labrador,30 to 34 years,10,2
2014/2015,Total participation rate,Prince Edward Island,30 to 34 years,11,4
2014/2015,Total participation rate,Nova Scotia,30 to 34 years,12,7
2014/2015,College,Nova Scotia,30 to 34 years,12,1
2014/2015,University,Nova Scotia,30 to 34 years,12,6
2014/2015,Total participation rate,New Brunswick,30 to 34 years,13,6
2014/2015,College,New Brunswick,30 to 34 years,13,2
2014/2015,University,New Brunswick,30 to 34 years,13,3
2014/2015,Total participation rate,Quebec,30 to 34 years,24,10
2014/2015,Elementary and/or High School,Quebec,30 to 34 years,24,1
2014/2015,College,Quebec,30 to 34 years,24,2
2014/2015,University,Quebec,30 to 34 years,24,7
2014/2015,Total participation rate,Ontario,30 to 34 years,35,5
2014/2015,Elementary and/or High School,Ontario,30 to 34 years,35,0
2014/2015,College,Ontario,30 to 34 years,35,2
2014/2015,University,Ontario,30 to 34 years,35,3
2014/2015,Total participation rate,Manitoba,30 to 34 years,46,7
2014/2015,College,Manitoba,30 to 34 years,46,3
2014/2015,University,Manitoba,30 to 34 years,46,4
2014/2015,Total participation rate,Saskatchewan,30 to 34 years,47,6
2014/2015,College,Saskatchewan,30 to 34 years,47,2
2014/2015,University,Saskatchewan,30 to 34 years,47,4
2014/2015,Total participation rate,Alberta,30 to 34 years,48,5
2014/2015,College,Alberta,30 to 34 years,48,2
2014/2015,University,Alberta,30 to 34 years,48,4
2014/2015,Total participation rate,British Columbia,30 to 34 years,59,8
2014/2015,College,British Columbia,30 to 34 years,59,3
2014/2015,University,British Columbia,30 to 34 years,59,4
2014/2015,Total participation rate,Yukon,30 to 34 years,60,9
2015/2016,Total participation rate,Canada,30 to 34 years,,6
2015/2016,Elementary and/or High School,Canada,30 to 34 years,,0
2015/2016,College,Canada,30 to 34 years,,2
2015/2016,University,Canada,30 to 34 years,,4
2015/2016,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,6
2015/2016,University,Newfoundland and Labrador,30 to 34 years,10,5
2015/2016,Total participation rate,Prince Edward Island,30 to 34 years,11,7
2015/2016,University,Prince Edward Island,30 to 34 years,11,5
2015/2016,Total participation rate,Nova Scotia,30 to 34 years,12,7
2015/2016,College,Nova Scotia,30 to 34 years,12,2
2015/2016,University,Nova Scotia,30 to 34 years,12,5
2015/2016,Total participation rate,New Brunswick,30 to 34 years,13,3
2015/2016,College,New Brunswick,30 to 34 years,13,2
2015/2016,University,New Brunswick,30 to 34 years,13,1
2015/2016,Total participation rate,Quebec,30 to 34 years,24,9
2015/2016,Elementary and/or High School,Quebec,30 to 34 years,24,1
2015/2016,College,Quebec,30 to 34 years,24,2
2015/2016,University,Quebec,30 to 34 years,24,6
2015/2016,Total participation rate,Ontario,30 to 34 years,35,5
2015/2016,Elementary and/or High School,Ontario,30 to 34 years,35,0
2015/2016,College,Ontario,30 to 34 years,35,2
2015/2016,University,Ontario,30 to 34 years,35,3
2015/2016,Total participation rate,Manitoba,30 to 34 years,46,6
2015/2016,College,Manitoba,30 to 34 years,46,2
2015/2016,University,Manitoba,30 to 34 years,46,3
2015/2016,Total participation rate,Saskatchewan,30 to 34 years,47,5
2015/2016,College,Saskatchewan,30 to 34 years,47,1
2015/2016,University,Saskatchewan,30 to 34 years,47,3
2015/2016,Total participation rate,Alberta,30 to 34 years,48,6
2015/2016,College,Alberta,30 to 34 years,48,2
2015/2016,University,Alberta,30 to 34 years,48,4
2015/2016,Total participation rate,British Columbia,30 to 34 years,59,6
2015/2016,College,British Columbia,30 to 34 years,59,2
2015/2016,University,British Columbia,30 to 34 years,59,4
2015/2016,Total participation rate,Yukon,30 to 34 years,60,8
2016/2017,Total participation rate,Canada,30 to 34 years,,6
2016/2017,Elementary and/or High School,Canada,30 to 34 years,,0
2016/2017,College,Canada,30 to 34 years,,2
2016/2017,University,Canada,30 to 34 years,,4
2016/2017,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,6
2016/2017,College,Newfoundland and Labrador,30 to 34 years,10,2
2016/2017,University,Newfoundland and Labrador,30 to 34 years,10,4
2016/2017,Total participation rate,Prince Edward Island,30 to 34 years,11,6
2016/2017,University,Prince Edward Island,30 to 34 years,11,4
2016/2017,Total participation rate,Nova Scotia,30 to 34 years,12,7
2016/2017,College,Nova Scotia,30 to 34 years,12,3
2016/2017,University,Nova Scotia,30 to 34 years,12,4
2016/2017,Total participation rate,New Brunswick,30 to 34 years,13,2
2016/2017,University,New Brunswick,30 to 34 years,13,1
2016/2017,Total participation rate,Quebec,30 to 34 years,24,8
2016/2017,Elementary and/or High School,Quebec,30 to 34 years,24,0
2016/2017,College,Quebec,30 to 34 years,24,2
2016/2017,University,Quebec,30 to 34 years,24,6
2016/2017,Total participation rate,Ontario,30 to 34 years,35,5
2016/2017,College,Ontario,30 to 34 years,35,2
2016/2017,University,Ontario,30 to 34 years,35,3
