Year,Persons in low income,Geography,GeoCode,Value
2015,All persons,British Columbia,59,18.6
2016,All persons,British Columbia,59,16.0
2017,All persons,British Columbia,59,14.6
2018,All persons,British Columbia,59,13.3
2019,All persons,British Columbia,59,11.9
2020,All persons,British Columbia,59,7.6
2021,All persons,British Columbia,59,8.8
2022,All persons,British Columbia,59,11.6
2023,All persons,British Columbia,59,11.3
2015,Females,British Columbia,59,18.7
2016,Females,British Columbia,59,15.9
2017,Females,British Columbia,59,14.8
2018,Females,British Columbia,59,13.2
2019,Females,British Columbia,59,12.6
2020,Females,British Columbia,59,7.6
2021,Females,British Columbia,59,9.7
2022,Females,British Columbia,59,11.7
2023,Females,British Columbia,59,11.6
2015,"Females, 18 to 64 years",British Columbia,59,20.4
2016,"Females, 18 to 64 years",British Columbia,59,17.1
2017,"Females, 18 to 64 years",British Columbia,59,16.8
2018,"Females, 18 to 64 years",British Columbia,59,15.2
2019,"Females, 18 to 64 years",British Columbia,59,15.5
2020,"Females, 18 to 64 years",British Columbia,59,9.3
2021,"Females, 18 to 64 years",British Columbia,59,10.9
2022,"Females, 18 to 64 years",British Columbia,59,12.9
2023,"Females, 18 to 64 years",British Columbia,59,13.1
2015,"Females, 65 years and over",British Columbia,59,12.0
2016,"Females, 65 years and over",British Columbia,59,10.3
2017,"Females, 65 years and over",British Columbia,59,10.1
2018,"Females, 65 years and over",British Columbia,59,9.2
2019,"Females, 65 years and over",British Columbia,59,7.1
2020,"Females, 65 years and over",British Columbia,59,4.5
2021,"Females, 65 years and over",British Columbia,59,7.8
2022,"Females, 65 years and over",British Columbia,59,8.8
2023,"Females, 65 years and over",British Columbia,59,7.4
2015,"Females, under 18 years",British Columbia,59,18.8
2016,"Females, under 18 years",British Columbia,59,17.3
2017,"Females, under 18 years",British Columbia,59,12.0
2018,"Females, under 18 years",British Columbia,59,9.6
2019,"Females, under 18 years",British Columbia,59,7.6
2020,"Females, under 18 years",British Columbia,59,4.6
2021,"Females, under 18 years",British Columbia,59,7.5
2022,"Females, under 18 years",British Columbia,59,11.0
2023,"Females, under 18 years",British Columbia,59,11.3
2015,Males,British Columbia,59,18.5
2016,Males,British Columbia,59,16.1
2017,Males,British Columbia,59,14.5
2018,Males,British Columbia,59,13.4
2019,Males,British Columbia,59,11.3
2020,Males,British Columbia,59,7.6
2021,Males,British Columbia,59,7.7
2022,Males,British Columbia,59,11.4
2023,Males,British Columbia,59,10.9
2015,"Males, 18 to 64 years",British Columbia,59,21.2
2016,"Males, 18 to 64 years",British Columbia,59,17.8
2017,"Males, 18 to 64 years",British Columbia,59,15.8
2018,"Males, 18 to 64 years",British Columbia,59,15.2
2019,"Males, 18 to 64 years",British Columbia,59,14.0
2020,"Males, 18 to 64 years",British Columbia,59,9.6
2021,"Males, 18 to 64 years",British Columbia,59,8.1
2022,"Males, 18 to 64 years",British Columbia,59,12.3
2023,"Males, 18 to 64 years",British Columbia,59,12.2
2015,"Males, 65 years and over",British Columbia,59,11.3
2016,"Males, 65 years and over",British Columbia,59,7.9
2017,"Males, 65 years and over",British Columbia,59,9.1
2018,"Males, 65 years and over",British Columbia,59,7.7
2019,"Males, 65 years and over",British Columbia,59,5.7
2020,"Males, 65 years and over",British Columbia,59,2.9
2021,"Males, 65 years and over",British Columbia,59,6.1
2022,"Males, 65 years and over",British Columbia,59,8.5
2023,"Males, 65 years and over",British Columbia,59,6.9
2015,"Males, under 18 years",British Columbia,59,14.9
2016,"Males, under 18 years",British Columbia,59,17.5
2017,"Males, under 18 years",British Columbia,59,14.8
2018,"Males, under 18 years",British Columbia,59,12.6
2019,"Males, under 18 years",British Columbia,59,7.0
2020,"Males, under 18 years",British Columbia,59,5.4
2021,"Males, under 18 years",British Columbia,59,8.3
2022,"Males, under 18 years",British Columbia,59,11.0
2023,"Males, under 18 years",British Columbia,59,10.9
2015,Persons 18 to 64 years,British Columbia,59,20.8
2016,Persons 18 to 64 years,British Columbia,59,17.4
2017,Persons 18 to 64 years,British Columbia,59,16.3
2018,Persons 18 to 64 years,British Columbia,59,15.2
2019,Persons 18 to 64 years,British Columbia,59,14.8
2020,Persons 18 to 64 years,British Columbia,59,9.5
2021,Persons 18 to 64 years,British Columbia,59,9.5
2022,Persons 18 to 64 years,British Columbia,59,12.6
2023,Persons 18 to 64 years,British Columbia,59,12.7
2015,Persons 65 years and over,British Columbia,59,11.7
2016,Persons 65 years and over,British Columbia,59,9.1
2017,Persons 65 years and over,British Columbia,59,9.7
2018,Persons 65 years and over,British Columbia,59,8.5
2019,Persons 65 years and over,British Columbia,59,6.4
2020,Persons 65 years and over,British Columbia,59,3.7
2021,Persons 65 years and over,British Columbia,59,7.0
2022,Persons 65 years and over,British Columbia,59,8.7
2023,Persons 65 years and over,British Columbia,59,7.2
2015,Persons under 18 years,British Columbia,59,16.8
2016,Persons under 18 years,British Columbia,59,17.4
2017,Persons under 18 years,British Columbia,59,13.4
2018,Persons under 18 years,British Columbia,59,11.1
2019,Persons under 18 years,British Columbia,59,7.3
2020,Persons under 18 years,British Columbia,59,5.0
2021,Persons under 18 years,British Columbia,59,7.9
2022,Persons under 18 years,British Columbia,59,11.0
2023,Persons under 18 years,British Columbia,59,11.1
2015,All persons,"Calgary, Alberta",,11.5
2016,All persons,"Calgary, Alberta",,11.1
2017,All persons,"Calgary, Alberta",,8.0
2018,All persons,"Calgary, Alberta",,11.3
2019,All persons,"Calgary, Alberta",,5.2
2020,All persons,"Calgary, Alberta",,6.8
2021,All persons,"Calgary, Alberta",,8.0
2022,All persons,"Calgary, Alberta",,10.2
2023,All persons,"Calgary, Alberta",,9.0
2015,Females,"Calgary, Alberta",,11.9
2016,Females,"Calgary, Alberta",,11.9
2017,Females,"Calgary, Alberta",,7.9
2018,Females,"Calgary, Alberta",,10.5
2019,Females,"Calgary, Alberta",,5.5
2020,Females,"Calgary, Alberta",,6.7
2021,Females,"Calgary, Alberta",,8.3
2022,Females,"Calgary, Alberta",,10.4
2023,Females,"Calgary, Alberta",,9.1
2015,"Females, 18 to 64 years","Calgary, Alberta",,11.1
2016,"Females, 18 to 64 years","Calgary, Alberta",,13.1
2017,"Females, 18 to 64 years","Calgary, Alberta",,8.5
2018,"Females, 18 to 64 years","Calgary, Alberta",,11.9
2019,"Females, 18 to 64 years","Calgary, Alberta",,6.3
2020,"Females, 18 to 64 years","Calgary, Alberta",,7.8
2021,"Females, 18 to 64 years","Calgary, Alberta",,8.4
2022,"Females, 18 to 64 years","Calgary, Alberta",,10.3
2023,"Females, 18 to 64 years","Calgary, Alberta",,9.4
2021,"Females, 65 years and over","Calgary, Alberta",,9.1
2022,"Females, 65 years and over","Calgary, Alberta",,6.2
2023,"Females, 65 years and over","Calgary, Alberta",,5.8
2015,"Females, under 18 years","Calgary, Alberta",,19.0
2016,"Females, under 18 years","Calgary, Alberta",,12.8
2017,"Females, under 18 years","Calgary, Alberta",,9.4
2021,"Females, under 18 years","Calgary, Alberta",,7.6
2022,"Females, under 18 years","Calgary, Alberta",,13.5
2023,"Females, under 18 years","Calgary, Alberta",,10.6
2015,Males,"Calgary, Alberta",,11.2
2016,Males,"Calgary, Alberta",,10.3
2017,Males,"Calgary, Alberta",,8.1
2018,Males,"Calgary, Alberta",,12.1
2019,Males,"Calgary, Alberta",,5.0
2020,Males,"Calgary, Alberta",,6.9
2021,Males,"Calgary, Alberta",,7.7
2022,Males,"Calgary, Alberta",,9.9
2023,Males,"Calgary, Alberta",,8.8
2015,"Males, 18 to 64 years","Calgary, Alberta",,11.9
2016,"Males, 18 to 64 years","Calgary, Alberta",,10.8
2017,"Males, 18 to 64 years","Calgary, Alberta",,9.5
2018,"Males, 18 to 64 years","Calgary, Alberta",,13.3
2019,"Males, 18 to 64 years","Calgary, Alberta",,5.5
2020,"Males, 18 to 64 years","Calgary, Alberta",,7.9
2021,"Males, 18 to 64 years","Calgary, Alberta",,7.3
2022,"Males, 18 to 64 years","Calgary, Alberta",,10.8
2023,"Males, 18 to 64 years","Calgary, Alberta",,8.8
2022,"Males, 65 years and over","Calgary, Alberta",,5.1
2023,"Males, 65 years and over","Calgary, Alberta",,4.4
2016,"Males, under 18 years","Calgary, Alberta",,10.8
2017,"Males, under 18 years","Calgary, Alberta",,6.2
2018,"Males, under 18 years","Calgary, Alberta",,13.6
2021,"Males, under 18 years","Calgary, Alberta",,9.9
2022,"Males, under 18 years","Calgary, Alberta",,9.8
2023,"Males, under 18 years","Calgary, Alberta",,11.6
2015,Persons 18 to 64 years,"Calgary, Alberta",,11.5
2016,Persons 18 to 64 years,"Calgary, Alberta",,12.0
2017,Persons 18 to 64 years,"Calgary, Alberta",,9.0
2018,Persons 18 to 64 years,"Calgary, Alberta",,12.6
2019,Persons 18 to 64 years,"Calgary, Alberta",,5.9
2020,Persons 18 to 64 years,"Calgary, Alberta",,7.8
2021,Persons 18 to 64 years,"Calgary, Alberta",,7.8
2022,Persons 18 to 64 years,"Calgary, Alberta",,10.6
2023,Persons 18 to 64 years,"Calgary, Alberta",,9.1
2021,Persons 65 years and over,"Calgary, Alberta",,7.7
2022,Persons 65 years and over,"Calgary, Alberta",,5.7
2023,Persons 65 years and over,"Calgary, Alberta",,5.1
2015,Persons under 18 years,"Calgary, Alberta",,15.4
2016,Persons under 18 years,"Calgary, Alberta",,11.7
2017,Persons under 18 years,"Calgary, Alberta",,8.0
2018,Persons under 18 years,"Calgary, Alberta",,11.8
2021,Persons under 18 years,"Calgary, Alberta",,8.7
2022,Persons under 18 years,"Calgary, Alberta",,11.6
2023,Persons under 18 years,"Calgary, Alberta",,11.1
2015,Females,Canada,,14.8
2016,Females,Canada,,13.4
2017,Females,Canada,,12.1
2018,Females,Canada,,11.1
2019,Females,Canada,,10.7
2020,Females,Canada,,6.4
2021,Females,Canada,,7.7
2022,Females,Canada,,10.0
2023,Females,Canada,,10.2
2015,"Females, 18 to 64 years",Canada,,16.0
2016,"Females, 18 to 64 years",Canada,,14.5
2017,"Females, 18 to 64 years",Canada,,13.7
2018,"Females, 18 to 64 years",Canada,,12.7
2019,"Females, 18 to 64 years",Canada,,12.3
2020,"Females, 18 to 64 years",Canada,,7.8
2021,"Females, 18 to 64 years",Canada,,8.5
2022,"Females, 18 to 64 years",Canada,,11.2
2023,"Females, 18 to 64 years",Canada,,11.8
2015,"Females, 65 years and over",Canada,,8.0
2016,"Females, 65 years and over",Canada,,7.6
2017,"Females, 65 years and over",Canada,,6.7
2018,"Females, 65 years and over",Canada,,6.6
2019,"Females, 65 years and over",Canada,,6.3
2020,"Females, 65 years and over",Canada,,3.5
2021,"Females, 65 years and over",Canada,,6.1
2022,"Females, 65 years and over",Canada,,6.3
2023,"Females, 65 years and over",Canada,,5.2
