Year,Geography,Sex,GeoCode,Value
2020,Quebec,Males,24,18.7
2020,Quebec,Females,24,5.9
2020,Ontario,Both sexes,35,9.6
2020,Ontario,Males,35,14.3
2020,Ontario,Females,35,5.0
2020,Manitoba,Both sexes,46,13.6
2020,Manitoba,Males,46,19.6
2020,Manitoba,Females,46,7.6
2020,Saskatchewan,Both sexes,47,17.5
2020,Saskatchewan,Males,47,25.8
2020,Saskatchewan,Females,47,9.0
2020,Alberta,Both sexes,48,14.3
2020,Alberta,Males,48,21.5
2020,Alberta,Females,48,7.1
2020,British Columbia,Both sexes,59,9.3
2020,British Columbia,Males,59,13.4
2020,British Columbia,Females,59,5.3
2020,Yukon,Both sexes,60,11.9
2020,Yukon,Males,60,14.2
2020,Yukon,Females,60,9.6
2020,Northwest Territories,Both sexes,61,11.2
2020,Northwest Territories,Males,61,21.9
2020,Northwest Territories,Females,61,0.0
2020,Nunavut,Both sexes,62,76.0
2020,Nunavut,Males,62,109.8
2020,Nunavut,Females,62,41.1
2021,Canada,Males,,15.4
2021,Canada,Females,,5.1
2021,Newfoundland and Labrador,Both sexes,10,14.8
2021,Newfoundland and Labrador,Males,10,23.4
2021,Newfoundland and Labrador,Females,10,6.4
2021,Prince Edward Island,Both sexes,11,7.4
2021,Prince Edward Island,Males,11,12.7
2021,Prince Edward Island,Females,11,2.4
2021,Nova Scotia,Both sexes,12,13.9
2021,Nova Scotia,Males,12,21.1
2021,Nova Scotia,Females,12,6.9
2021,New Brunswick,Both sexes,13,10.7
2021,New Brunswick,Males,13,17.4
2021,New Brunswick,Females,13,4.2
2021,Quebec,Both sexes,24,12.0
2021,Quebec,Males,24,18.5
2021,Quebec,Females,24,5.5
2021,Ontario,Both sexes,35,8.1
2021,Ontario,Males,35,12.2
2021,Ontario,Females,35,4.2
2021,Manitoba,Both sexes,46,12.4
2021,Manitoba,Males,46,16.0
2021,Manitoba,Females,46,8.7
2021,Saskatchewan,Both sexes,47,17.4
2021,Saskatchewan,Males,47,24.5
2021,Saskatchewan,Females,47,10.2
2021,Alberta,Both sexes,48,13.4
2021,Alberta,Males,48,19.7
2021,Alberta,Females,48,7.0
2021,British Columbia,Both sexes,59,6.8
2021,British Columbia,Males,59,10.4
2021,British Columbia,Females,59,3.2
2021,Yukon,Both sexes,60,7.0
2021,Yukon,Males,60,9.3
2021,Yukon,Females,60,4.7
2021,Northwest Territories,Both sexes,61,22.4
2021,Northwest Territories,Males,61,39.3
2021,Northwest Territories,Females,61,4.6
2021,Nunavut,Both sexes,62,99.8
2021,Nunavut,Males,62,162.5
2021,Nunavut,Females,62,35.4
2022,Canada,Males,,16.2
2022,Canada,Females,,5.5
2022,Newfoundland and Labrador,Both sexes,10,14.5
2022,Newfoundland and Labrador,Males,10,24.0
2022,Newfoundland and Labrador,Females,10,5.2
2022,Prince Edward Island,Both sexes,11,10.2
2022,Prince Edward Island,Males,11,15.9
2022,Prince Edward Island,Females,11,4.7
2022,Nova Scotia,Both sexes,12,13.4
2022,Nova Scotia,Males,12,20.0
2022,Nova Scotia,Females,12,6.9
2022,New Brunswick,Both sexes,13,7.8
2022,New Brunswick,Males,13,11.5
2022,New Brunswick,Females,13,4.2
2022,Quebec,Both sexes,24,13.2
2022,Quebec,Males,24,20.0
2022,Quebec,Females,24,6.4
2022,Ontario,Both sexes,35,9.5
2022,Ontario,Males,35,14.1
2022,Ontario,Females,35,5.0
2022,Manitoba,Both sexes,46,11.5
2022,Manitoba,Males,46,15.6
2022,Manitoba,Females,46,7.4
2022,Saskatchewan,Both sexes,47,19.5
2022,Saskatchewan,Males,47,27.3
2022,Saskatchewan,Females,47,11.6
2022,Alberta,Both sexes,48,13.3
2022,Alberta,Males,48,19.9
2022,Alberta,Females,48,6.7
2022,British Columbia,Both sexes,59,5.5
2022,British Columbia,Males,59,8.9
2022,British Columbia,Females,59,2.1
2022,Yukon,Both sexes,60,0.0
2022,Yukon,Males,60,0.0
2022,Yukon,Females,60,0.0
2022,Northwest Territories,Both sexes,61,44.8
2022,Northwest Territories,Males,61,65.6
2022,Northwest Territories,Females,61,23.0
2022,Nunavut,Both sexes,62,59.3
2022,Nunavut,Males,62,68.4
2022,Nunavut,Females,62,50.0
2023,Canada,Males,,14.2
2023,Canada,Females,,4.8
2023,Newfoundland and Labrador,Both sexes,10,13.7
2023,Newfoundland and Labrador,Males,10,22.1
2023,Newfoundland and Labrador,Females,10,5.5
2023,Prince Edward Island,Both sexes,11,6.9
2023,Prince Edward Island,Males,11,9.4
2023,Prince Edward Island,Females,11,4.5
2023,Nova Scotia,Both sexes,12,12.3
2023,Nova Scotia,Males,12,19.0
2023,Nova Scotia,Females,12,5.8
2023,New Brunswick,Both sexes,13,12.3
2023,New Brunswick,Males,13,18.7
2023,New Brunswick,Females,13,5.9
2023,Quebec,Both sexes,24,11.1
2023,Quebec,Males,24,16.8
2023,Quebec,Females,24,5.4
2023,Ontario,Both sexes,35,8.6
2023,Ontario,Males,35,13.0
2023,Ontario,Females,35,4.2
2023,Manitoba,Both sexes,46,15.1
2023,Manitoba,Males,46,19.9
2023,Manitoba,Females,46,10.3
2023,Saskatchewan,Both sexes,47,16.0
2023,Saskatchewan,Males,47,21.3
2023,Saskatchewan,Females,47,10.5
2023,Alberta,Both sexes,48,9.8
2023,Alberta,Males,48,15.1
2023,Alberta,Females,48,4.3
2023,British Columbia,Both sexes,59,4.6
2023,British Columbia,Males,59,6.7
2023,British Columbia,Females,59,2.5
2023,Yukon,Both sexes,60,0.0
2023,Yukon,Males,60,0.0
2023,Yukon,Females,60,0.0
2023,Northwest Territories,Both sexes,61,17.9
2023,Northwest Territories,Males,61,34.9
2023,Northwest Territories,Females,61,0.0
2023,Nunavut,Both sexes,62,90.9
2023,Nunavut,Males,62,126.3
2023,Nunavut,Females,62,54.7
