Year,Occupation,Type of work,Gender,Age group,Geography,GeoCode,Value
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Total - Gender,15 years and over,Saskatchewan,47,20.58
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Total - Gender,15 to 24 years,Saskatchewan,47,14.44
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Total - Gender,25 to 54 years,Saskatchewan,47,22.89
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Total - Gender,55 years and over,Saskatchewan,47,21.34
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Men+,15 years and over,Saskatchewan,47,20.95
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Men+,25 to 54 years,Saskatchewan,47,24.95
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Men+,55 years and over,Saskatchewan,47,21.48
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Women+,15 years and over,Saskatchewan,47,19.65
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Women+,25 to 54 years,Saskatchewan,47,19.37
2018,"Trades, transport and equipment operators and related occupations, except management",Part-time employees,Women+,55 years and over,Saskatchewan,47,20.96
2018,"Natural resources, agriculture and related production occupations, except management",Part-time employees,Total - Gender,15 years and over,Saskatchewan,47,17.94
2018,"Natural resources, agriculture and related production occupations, except management",Part-time employees,Total - Gender,15 to 24 years,Saskatchewan,47,14.24
2018,"Natural resources, agriculture and related production occupations, except management",Part-time employees,Total - Gender,55 years and over,Saskatchewan,47,17.64
2018,"Natural resources, agriculture and related production occupations, except management",Part-time employees,Men+,15 years and over,Saskatchewan,47,21.16
2018,"Natural resources, agriculture and related production occupations, except management",Part-time employees,Women+,15 years and over,Saskatchewan,47,13.8
2018,"Occupations in manufacturing and utilities, except management",Part-time employees,Total - Gender,15 years and over,Saskatchewan,47,21.65
2018,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,31.37
2018,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,18.66
2018,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,33.58
2018,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,33.9
2018,"Total employees, all occupations",Both full- and part-time employees,Men+,15 years and over,Alberta,48,34.42
2018,"Total employees, all occupations",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,19.49
2018,"Total employees, all occupations",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,36.79
2018,"Total employees, all occupations",Both full- and part-time employees,Men+,55 years and over,Alberta,48,38.1
2018,"Total employees, all occupations",Both full- and part-time employees,Women+,15 years and over,Alberta,48,28.11
2018,"Total employees, all occupations",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,17.8
2018,"Total employees, all occupations",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,30.12
2018,"Total employees, all occupations",Both full- and part-time employees,Women+,55 years and over,Alberta,48,29.46
2018,Management occupations,Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,52.1
2018,Management occupations,Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,50.66
2018,Management occupations,Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,58.4
2018,Management occupations,Both full- and part-time employees,Men+,15 years and over,Alberta,48,55.45
2018,Management occupations,Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,54.19
2018,Management occupations,Both full- and part-time employees,Men+,55 years and over,Alberta,48,60.88
2018,Management occupations,Both full- and part-time employees,Women+,15 years and over,Alberta,48,45.53
2018,Management occupations,Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,43.96
2018,Management occupations,Both full- and part-time employees,Women+,55 years and over,Alberta,48,52.98
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,30.75
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,20.12
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,31.93
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,31.51
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,35.03
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,20.48
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,36.36
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,55 years and over,Alberta,48,38.85
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,29.3
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,19.97
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,30.4
2018,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,55 years and over,Alberta,48,29.48
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,43.7
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,24.42
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,44.78
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,48.21
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,45.11
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,24.14
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,46.2
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Men+,55 years and over,Alberta,48,50.29
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,39.4
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,25.37
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,40.72
2018,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Women+,55 years and over,Alberta,48,38.02
2018,"Health occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,33.79
2018,"Health occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,25.32
2018,"Health occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,34.49
2018,"Health occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,35.37
2018,"Health occupations, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,35.66
2018,"Health occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,35.87
2018,"Health occupations, except management",Both full- and part-time employees,Men+,55 years and over,Alberta,48,40.33
2018,"Health occupations, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,33.49
2018,"Health occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,34.28
2018,"Health occupations, except management",Both full- and part-time employees,Women+,55 years and over,Alberta,48,34.38
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,35.4
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,21.46
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,36.27
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,36.98
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,40.6
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,24.06
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,40.51
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Men+,55 years and over,Alberta,48,45.75
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,32.97
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,20.77
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,34.12
2018,"Occupations in education, law and social, community and government services, except management",Both full- and part-time employees,Women+,55 years and over,Alberta,48,33.48
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,26.02
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,18.7
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,30.83
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,26.42
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,25.51
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,19.14
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,29.37
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,26.4
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,18.39
2018,"Occupations in art, culture, recreation and sport, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,32.15
2018,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,20.38
2018,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,15.4
2018,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,22.39
2018,"Sales and service occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,23.21
2018,"Sales and service occupations, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,22.8
2018,"Sales and service occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,15.57
2018,"Sales and service occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,25.44
2018,"Sales and service occupations, except management",Both full- and part-time employees,Men+,55 years and over,Alberta,48,28.25
2018,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,18.7
2018,"Sales and service occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,15.28
2018,"Sales and service occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,20.37
2018,"Sales and service occupations, except management",Both full- and part-time employees,Women+,55 years and over,Alberta,48,19.41
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,31.22
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,22.37
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,32.95
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,31.37
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,31.68
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,22.49
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,33.56
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Men+,55 years and over,Alberta,48,31.67
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,26.03
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,20.59
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,26.36
2018,"Trades, transport and equipment operators and related occupations, except management",Both full- and part-time employees,Women+,55 years and over,Alberta,48,28.1
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,33.43
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,19.29
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,37.03
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,37.22
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,34.75
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Alberta,48,19.94
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,37.7
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,24.64
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Alberta,48,17.33
2018,"Natural resources, agriculture and related production occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,30.76
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,15 years and over,Alberta,48,30.59
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Alberta,48,22.39
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Alberta,48,31.83
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,55 years and over,Alberta,48,30.99
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,15 years and over,Alberta,48,32.51
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,25 to 54 years,Alberta,48,34.35
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,55 years and over,Alberta,48,31.85
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,15 years and over,Alberta,48,22.06
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,25 to 54 years,Alberta,48,21.12
2018,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,55 years and over,Alberta,48,27.53
2018,"Total employees, all occupations",Full-time employees,Total - Gender,15 years and over,Alberta,48,33.1
2018,"Total employees, all occupations",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,20.75
2018,"Total employees, all occupations",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,34.39
2018,"Total employees, all occupations",Full-time employees,Total - Gender,55 years and over,Alberta,48,35.53
2018,"Total employees, all occupations",Full-time employees,Men+,15 years and over,Alberta,48,35.73
2018,"Total employees, all occupations",Full-time employees,Men+,15 to 24 years,Alberta,48,21.43
2018,"Total employees, all occupations",Full-time employees,Men+,25 to 54 years,Alberta,48,37.22
2018,"Total employees, all occupations",Full-time employees,Men+,55 years and over,Alberta,48,38.82
2018,"Total employees, all occupations",Full-time employees,Women+,15 years and over,Alberta,48,29.73
2018,"Total employees, all occupations",Full-time employees,Women+,15 to 24 years,Alberta,48,19.84
2018,"Total employees, all occupations",Full-time employees,Women+,25 to 54 years,Alberta,48,30.8
2018,"Total employees, all occupations",Full-time employees,Women+,55 years and over,Alberta,48,31.25
2018,Management occupations,Full-time employees,Total - Gender,15 years and over,Alberta,48,52.44
2018,Management occupations,Full-time employees,Total - Gender,25 to 54 years,Alberta,48,50.74
2018,Management occupations,Full-time employees,Total - Gender,55 years and over,Alberta,48,59.71
2018,Management occupations,Full-time employees,Men+,15 years and over,Alberta,48,55.82
2018,Management occupations,Full-time employees,Men+,25 to 54 years,Alberta,48,54.31
2018,Management occupations,Full-time employees,Men+,55 years and over,Alberta,48,61.96
2018,Management occupations,Full-time employees,Women+,15 years and over,Alberta,48,45.68
2018,Management occupations,Full-time employees,Women+,25 to 54 years,Alberta,48,43.86
2018,Management occupations,Full-time employees,Women+,55 years and over,Alberta,48,54.49
2018,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,31.32
2018,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,21.04
2018,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,32.48
2018,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,31.27
2018,"Business, finance and administration occupations, except management",Full-time employees,Men+,15 years and over,Alberta,48,35.18
2018,"Business, finance and administration occupations, except management",Full-time employees,Men+,15 to 24 years,Alberta,48,21.12
2018,"Business, finance and administration occupations, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,36.76
2018,"Business, finance and administration occupations, except management",Full-time employees,Men+,55 years and over,Alberta,48,36.48
2018,"Business, finance and administration occupations, except management",Full-time employees,Women+,15 years and over,Alberta,48,29.85
2018,"Business, finance and administration occupations, except management",Full-time employees,Women+,15 to 24 years,Alberta,48,21.0
2018,"Business, finance and administration occupations, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,30.83
2018,"Business, finance and administration occupations, except management",Full-time employees,Women+,55 years and over,Alberta,48,29.62
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,43.81
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,24.46
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,44.8
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,48.41
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,15 years and over,Alberta,48,45.25
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,15 to 24 years,Alberta,48,23.99
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,46.32
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,55 years and over,Alberta,48,50.5
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,15 years and over,Alberta,48,39.32
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,15 to 24 years,Alberta,48,26.19
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,40.4
2018,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,55 years and over,Alberta,48,38.47
2018,"Health occupations, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,33.85
2018,"Health occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,26.67
2018,"Health occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,34.38
2018,"Health occupations, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,35.26
2018,"Health occupations, except management",Full-time employees,Men+,15 years and over,Alberta,48,35.8
2018,"Health occupations, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,36.01
2018,"Health occupations, except management",Full-time employees,Men+,55 years and over,Alberta,48,38.33
2018,"Health occupations, except management",Full-time employees,Women+,15 years and over,Alberta,48,33.46
2018,"Health occupations, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,34.04
2018,"Health occupations, except management",Full-time employees,Women+,55 years and over,Alberta,48,34.52
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,36.52
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,22.69
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,36.81
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,39.21
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,15 years and over,Alberta,48,41.05
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,40.48
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,55 years and over,Alberta,48,46.94
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,15 years and over,Alberta,48,34.11
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,34.68
2018,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,55 years and over,Alberta,48,35.87
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,27.17
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,17.7
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,29.27
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,29.17
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Men+,15 years and over,Alberta,48,26.75
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,28.69
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Women+,15 years and over,Alberta,48,27.62
2018,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,29.94
2018,"Sales and service occupations, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,22.59
2018,"Sales and service occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,16.89
2018,"Sales and service occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,23.56
2018,"Sales and service occupations, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,25.3
2018,"Sales and service occupations, except management",Full-time employees,Men+,15 years and over,Alberta,48,25.51
2018,"Sales and service occupations, except management",Full-time employees,Men+,15 to 24 years,Alberta,48,17.25
2018,"Sales and service occupations, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,26.71
2018,"Sales and service occupations, except management",Full-time employees,Men+,55 years and over,Alberta,48,29.48
2018,"Sales and service occupations, except management",Full-time employees,Women+,15 years and over,Alberta,48,20.23
2018,"Sales and service occupations, except management",Full-time employees,Women+,15 to 24 years,Alberta,48,16.61
2018,"Sales and service occupations, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,21.13
2018,"Sales and service occupations, except management",Full-time employees,Women+,55 years and over,Alberta,48,20.87
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,31.6
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,23.21
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,32.99
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,32.17
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,15 years and over,Alberta,48,31.97
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,15 to 24 years,Alberta,48,23.31
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,33.46
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,55 years and over,Alberta,48,32.47
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,15 years and over,Alberta,48,26.62
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,15 to 24 years,Alberta,48,21.36
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,26.89
2018,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,55 years and over,Alberta,48,28.31
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,34.15
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,20.04
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,37.42
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,36.06
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,15 years and over,Alberta,48,35.15
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,15 to 24 years,Alberta,48,20.59
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,37.84
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,15 years and over,Alberta,48,26.16
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,15 to 24 years,Alberta,48,18.06
2018,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,32.95
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,15 years and over,Alberta,48,30.72
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,15 to 24 years,Alberta,48,22.65
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,25 to 54 years,Alberta,48,31.85
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,55 years and over,Alberta,48,31.22
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,15 years and over,Alberta,48,32.63
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,25 to 54 years,Alberta,48,34.37
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,55 years and over,Alberta,48,32.13
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,15 years and over,Alberta,48,22.13
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,25 to 54 years,Alberta,48,21.09
2018,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,55 years and over,Alberta,48,27.6
2018,"Total employees, all occupations",Part-time employees,Total - Gender,15 years and over,Alberta,48,22.78
2018,"Total employees, all occupations",Part-time employees,Total - Gender,15 to 24 years,Alberta,48,15.62
2018,"Total employees, all occupations",Part-time employees,Total - Gender,25 to 54 years,Alberta,48,27.03
2018,"Total employees, all occupations",Part-time employees,Total - Gender,55 years and over,Alberta,48,26.79
2018,"Total employees, all occupations",Part-time employees,Men+,15 years and over,Alberta,48,21.88
2018,"Total employees, all occupations",Part-time employees,Men+,15 to 24 years,Alberta,48,15.53
2018,"Total employees, all occupations",Part-time employees,Men+,25 to 54 years,Alberta,48,26.75
2018,"Total employees, all occupations",Part-time employees,Men+,55 years and over,Alberta,48,31.97
2018,"Total employees, all occupations",Part-time employees,Women+,15 years and over,Alberta,48,23.14
2018,"Total employees, all occupations",Part-time employees,Women+,15 to 24 years,Alberta,48,15.69
2018,"Total employees, all occupations",Part-time employees,Women+,25 to 54 years,Alberta,48,27.1
2018,"Total employees, all occupations",Part-time employees,Women+,55 years and over,Alberta,48,24.67
2018,Management occupations,Part-time employees,Total - Gender,15 years and over,Alberta,48,37.83
2018,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,15 years and over,Alberta,48,27.02
2018,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,15 to 24 years,Alberta,48,17.15
2018,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,25 to 54 years,Alberta,48,27.38
2018,"Business, finance and administration occupations, except management",Part-time employees,Total - Gender,55 years and over,Alberta,48,32.71
2018,"Business, finance and administration occupations, except management",Part-time employees,Men+,15 years and over,Alberta,48,32.44
