Year,Occupation,Type of work,Gender,Age group,Geography,GeoCode,Value
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,22.35
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,15 years and over,Canada,,23.35
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,15 to 24 years,Canada,,16.81
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,25 to 54 years,Canada,,24.03
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Men+,55 years and over,Canada,,24.84
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,15 years and over,Canada,,17.35
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,15 to 24 years,Canada,,15.39
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,25 to 54 years,Canada,,17.86
2015,"Occupations in manufacturing and utilities, except management",Both full- and part-time employees,Women+,55 years and over,Canada,,16.58
2015,"Total employees, all occupations",Full-time employees,Total - Gender,15 years and over,Canada,,27.59
2015,"Total employees, all occupations",Full-time employees,Total - Gender,15 to 24 years,Canada,,17.0
2015,"Total employees, all occupations",Full-time employees,Total - Gender,25 to 54 years,Canada,,28.75
2015,"Total employees, all occupations",Full-time employees,Total - Gender,55 years and over,Canada,,28.89
2015,"Total employees, all occupations",Full-time employees,Men+,15 years and over,Canada,,29.24
2015,"Total employees, all occupations",Full-time employees,Men+,15 to 24 years,Canada,,17.74
2015,"Total employees, all occupations",Full-time employees,Men+,25 to 54 years,Canada,,30.5
2015,"Total employees, all occupations",Full-time employees,Men+,55 years and over,Canada,,30.98
2015,"Total employees, all occupations",Full-time employees,Women+,15 years and over,Canada,,25.6
2015,"Total employees, all occupations",Full-time employees,Women+,15 to 24 years,Canada,,16.0
2015,"Total employees, all occupations",Full-time employees,Women+,25 to 54 years,Canada,,26.69
2015,"Total employees, all occupations",Full-time employees,Women+,55 years and over,Canada,,26.2
2015,Management occupations,Full-time employees,Total - Gender,15 years and over,Canada,,43.39
2015,Management occupations,Full-time employees,Total - Gender,15 to 24 years,Canada,,19.24
2015,Management occupations,Full-time employees,Total - Gender,25 to 54 years,Canada,,43.21
2015,Management occupations,Full-time employees,Total - Gender,55 years and over,Canada,,46.94
2015,Management occupations,Full-time employees,Men+,15 years and over,Canada,,45.92
2015,Management occupations,Full-time employees,Men+,15 to 24 years,Canada,,20.06
2015,Management occupations,Full-time employees,Men+,25 to 54 years,Canada,,45.68
2015,Management occupations,Full-time employees,Men+,55 years and over,Canada,,49.14
2015,Management occupations,Full-time employees,Women+,15 years and over,Canada,,39.5
2015,Management occupations,Full-time employees,Women+,15 to 24 years,Canada,,18.4
2015,Management occupations,Full-time employees,Women+,25 to 54 years,Canada,,39.5
2015,Management occupations,Full-time employees,Women+,55 years and over,Canada,,42.98
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,15 years and over,Canada,,26.98
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,17.67
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,27.5
2015,"Business, finance and administration occupations, except management",Full-time employees,Total - Gender,55 years and over,Canada,,28.1
2015,"Business, finance and administration occupations, except management",Full-time employees,Men+,15 years and over,Canada,,30.17
2015,"Business, finance and administration occupations, except management",Full-time employees,Men+,15 to 24 years,Canada,,17.83
2015,"Business, finance and administration occupations, except management",Full-time employees,Men+,25 to 54 years,Canada,,30.74
2015,"Business, finance and administration occupations, except management",Full-time employees,Men+,55 years and over,Canada,,32.35
2015,"Business, finance and administration occupations, except management",Full-time employees,Women+,15 years and over,Canada,,25.67
2015,"Business, finance and administration occupations, except management",Full-time employees,Women+,15 to 24 years,Canada,,17.61
2015,"Business, finance and administration occupations, except management",Full-time employees,Women+,25 to 54 years,Canada,,26.16
2015,"Business, finance and administration occupations, except management",Full-time employees,Women+,55 years and over,Canada,,26.49
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,15 years and over,Canada,,35.31
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,21.84
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,35.79
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Total - Gender,55 years and over,Canada,,39.75
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,15 years and over,Canada,,36.35
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,15 to 24 years,Canada,,22.4
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,25 to 54 years,Canada,,36.76
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Men+,55 years and over,Canada,,40.69
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,15 years and over,Canada,,32.02
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,15 to 24 years,Canada,,20.54
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,25 to 54 years,Canada,,32.79
2015,"Natural and applied sciences and related occupations, except management",Full-time employees,Women+,55 years and over,Canada,,35.87
2015,"Health occupations, except management",Full-time employees,Total - Gender,15 years and over,Canada,,29.87
