Year,Series,Units,Highest level of education,Age group,Sex,Location,COMMENT_OBS,Progress,Value
2021,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.10464000701904,1.105
2022,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.0906387177672,1.091
2023,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,,,1.09096807494666,1.091
2016,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,,,,2.00662187457597,0.498
2021,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,,,,1.99215095268046,0.502
2016,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Male,,,2.3581012532619,0.424
2021,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Male,,,2.37439445901562,0.421
2016,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Rural,,1.28553998470306,1.286
2021,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Rural,,1.32441997528076,1.324
2016,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Urban,,1.03521001338959,1.035
2021,Educational attainment rate,Adjusted gender parity index,Completed Bachelor's or equivalent education or higher,,,Urban,,1.06743001937866,1.067
2016,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Female,,,2.17334611908169,0.46
2021,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Female,,,2.13137820404511,0.469
2015,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.08243934996371,0.924
2016,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.12703995838262,0.887
2017,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.08117478526641,0.925
2018,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.05109800199094,0.951
2019,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.04467002193824,0.957
2020,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.04738243457999,0.955
2021,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.0,0.972
2022,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.0,0.994
2023,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,,,1.03701450113625,1.037
2016,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,,,,2.39480808523163,0.418
2021,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,,,,2.39417738760893,0.418
2016,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Male,,,2.64075215057115,0.379
2021,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Male,,,2.70804562635763,0.369
2016,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Rural,,1.04594004154205,1.046
2021,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Rural,,1.16515004634857,1.165
2016,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Urban,,1.1592320934217,0.863
2021,Educational attainment rate,Adjusted gender parity index,Completed Master's or equivalent education or higher,,,Urban,,1.06071535690207,0.943
2016,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Female,,,2.22128430868265,0.45
2021,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Female,,,2.31101665929948,0.433
2016,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,,,1.77632504815826,0.563
2021,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,,,1.54504574112708,0.647
2016,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,,,,2.52889260665298,0.395
2021,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,,,,2.55702163320357,0.391
2016,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Male,,,2.80308330181151,0.357
2021,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Male,,,2.79306210108917,0.358
2016,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Rural,,1.45215866574502,0.689
2021,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Rural,,1.31200884368754,0.762
2016,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Urban,,1.83250865862028,0.546
2021,Educational attainment rate,Adjusted gender parity index,Completed Doctoral or equivalent education,,,Urban,,1.58569080155227,0.631
2015,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2016,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2017,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2018,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2019,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2020,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2021,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2022,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2023,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2024,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0,1.0
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Lower secondary education,,,,,1.0,0.992
2018,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Lower secondary education,,,,,1.0,1.003
2022,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Lower secondary education,,,,,1.0,0.991
2018,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted location parity index,Lower secondary education,,,,,1.08732443731021,0.92
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Lower secondary education,,,,,1.21262454773814,0.825
2018,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Lower secondary education,,,,,1.23542636130421,0.809
2022,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Lower secondary education,,,,,1.60264900662252,0.624
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Primary education,,,,,1.04761056139202,0.955
2019,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Primary education,,,,,1.11977602768663,0.893
2023,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Primary education,,,,,1.1403338194782,0.877
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted location parity index,Primary education,,,,,1.19118259329544,0.84
2019,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted location parity index,Primary education,,,,,1.16294541197563,0.86
2023,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted location parity index,Primary education,,,,,1.18509136963995,0.844
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Primary education,,,,,1.4336579623434,0.698
2019,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Primary education,,,,,1.36100268146693,0.735
2023,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Primary education,,,,,1.28841442072104,0.776
