Year,Distance-capacity public transit service area,Geography,Location,Gender,Demographic and socio-economic,GeoCode,Value
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Women+,15 to 19 years,10,55.9
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Women+,20 to 24 years,10,67.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Urban,Women+,65 years and over,10,70.1
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,"Total, gender",Total - Age groups of the population - 100% data,10,6.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,"Total, gender",0 to 14 years,10,6.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,"Total, gender",15 to 64 years,10,7.1
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,"Total, gender",15 to 19 years,10,6.6
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,"Total, gender",20 to 24 years,10,12.3
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,"Total, gender",65 years and over,10,5.2
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Men+,Total - Age groups of the population - 100% data,10,6.4
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Men+,0 to 14 years,10,6.5
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Men+,15 to 64 years,10,6.6
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Men+,15 to 19 years,10,6.2
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Men+,20 to 24 years,10,10.7
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Men+,65 years and over,10,5.1
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Women+,Total - Age groups of the population - 100% data,10,7.0
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Women+,0 to 14 years,10,6.6
2023,500 metres from low-capacity public transit stops only,Newfoundland and Labrador,Rural,Women+,15 to 64 years,10,7.6
