Year,Type de violence physique ou sexuelle subie durant l'enfance,Géographie,Genre,Groupe d'âge,Status d'immigrant,Minorité visible,Identité autochtone,Incapacité,Orientation sexuelle,GeoCode,Value
2018,Violence physique ou sexuelle,Nouvelle-Écosse,"Total, genre","Total, âge",,,,,,12,27.31
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre masculin,"Total, âge",,,,,,12,26.14
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre féminin,"Total, âge",,,,,,12,28.39
2018,Violence physique ou sexuelle,Nouvelle-Écosse,"Total, genre",15 à 24 ans,,,,,,12,18.76
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre masculin,15 à 24 ans,,,,,,12,24.05
2018,Violence physique ou sexuelle,Nouvelle-Écosse,"Total, genre",25 à 34 ans,,,,,,12,20.13
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre masculin,25 à 34 ans,,,,,,12,16.87
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre féminin,25 à 34 ans,,,,,,12,23.89
2018,Violence physique ou sexuelle,Nouvelle-Écosse,"Total, genre",35 à 44 ans,,,,,,12,29.35
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre masculin,35 à 44 ans,,,,,,12,28.38
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre féminin,35 à 44 ans,,,,,,12,30.26
2018,Violence physique ou sexuelle,Nouvelle-Écosse,"Total, genre",45 à 54 ans,,,,,,12,32.59
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre masculin,45 à 54 ans,,,,,,12,25.51
2018,Violence physique ou sexuelle,Nouvelle-Écosse,Genre féminin,45 à 54 ans,,,,,,12,38.75
2018,Violence physique,Nouvelle-Écosse,"Total, genre","Total, âge",,,,,,12,22.92
2018,Violence physique,Nouvelle-Écosse,Genre masculin,"Total, âge",,,,,,12,24.49
2018,Violence physique,Nouvelle-Écosse,Genre féminin,"Total, âge",,,,,,12,21.45
2018,Violence physique,Nouvelle-Écosse,"Total, genre",15 à 24 ans,,,,,,12,18.76
2018,Violence physique,Nouvelle-Écosse,Genre masculin,15 à 24 ans,,,,,,12,24.05
2018,Violence physique,Nouvelle-Écosse,"Total, genre",25 à 34 ans,,,,,,12,17.96
2018,Violence physique,Nouvelle-Écosse,Genre masculin,25 à 34 ans,,,,,,12,15.89
2018,Violence physique,Nouvelle-Écosse,Genre féminin,25 à 34 ans,,,,,,12,20.44
2018,Violence physique,Nouvelle-Écosse,"Total, genre",35 à 44 ans,,,,,,12,24.38
2018,Violence physique,Nouvelle-Écosse,Genre masculin,35 à 44 ans,,,,,,12,27.19
2018,Violence physique,Nouvelle-Écosse,Genre féminin,35 à 44 ans,,,,,,12,21.72
2018,Violence physique,Nouvelle-Écosse,"Total, genre",45 à 54 ans,,,,,,12,26.73
2018,Violence physique,Nouvelle-Écosse,Genre masculin,45 à 54 ans,,,,,,12,25.22
2018,Violence physique,Nouvelle-Écosse,Genre féminin,45 à 54 ans,,,,,,12,27.97
2018,Violence sexuelle,Nouvelle-Écosse,"Total, genre","Total, âge",,,,,,12,9.66
2018,Violence sexuelle,Nouvelle-Écosse,Genre masculin,"Total, âge",,,,,,12,4.89
2018,Violence sexuelle,Nouvelle-Écosse,Genre féminin,"Total, âge",,,,,,12,14.17
2018,Violence sexuelle,Nouvelle-Écosse,"Total, genre",25 à 34 ans,,,,,,12,7.22
2018,Violence sexuelle,Nouvelle-Écosse,Genre féminin,25 à 34 ans,,,,,,12,12.24
2018,Violence sexuelle,Nouvelle-Écosse,"Total, genre",35 à 44 ans,,,,,,12,9.24
2018,Violence sexuelle,Nouvelle-Écosse,Genre féminin,35 à 44 ans,,,,,,12,12.8
2018,Violence sexuelle,Nouvelle-Écosse,"Total, genre",45 à 54 ans,,,,,,12,13.63
2018,Violence sexuelle,Nouvelle-Écosse,Genre masculin,45 à 54 ans,,,,,,12,6.19
2018,Violence sexuelle,Nouvelle-Écosse,Genre féminin,45 à 54 ans,,,,,,12,20.52
2018,Violence physique ou sexuelle,Nouveau-Brunswick,"Total, genre","Total, âge",,,,,,13,24.6
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre masculin,"Total, âge",,,,,,13,23.2
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre féminin,"Total, âge",,,,,,13,25.89
2018,Violence physique ou sexuelle,Nouveau-Brunswick,"Total, genre",15 à 24 ans,,,,,,13,20.79
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre féminin,15 à 24 ans,,,,,,13,26.28
2018,Violence physique ou sexuelle,Nouveau-Brunswick,"Total, genre",25 à 34 ans,,,,,,13,15.96
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre masculin,25 à 34 ans,,,,,,13,14.84
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre féminin,25 à 34 ans,,,,,,13,17.12
2018,Violence physique ou sexuelle,Nouveau-Brunswick,"Total, genre",35 à 44 ans,,,,,,13,26.35
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre masculin,35 à 44 ans,,,,,,13,21.62
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre féminin,35 à 44 ans,,,,,,13,30.94
2018,Violence physique ou sexuelle,Nouveau-Brunswick,"Total, genre",45 à 54 ans,,,,,,13,26.79
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre masculin,45 à 54 ans,,,,,,13,25.57
2018,Violence physique ou sexuelle,Nouveau-Brunswick,Genre féminin,45 à 54 ans,,,,,,13,28.05
2018,Violence physique,Nouveau-Brunswick,"Total, genre","Total, âge",,,,,,13,19.45
2018,Violence physique,Nouveau-Brunswick,Genre masculin,"Total, âge",,,,,,13,20.74
2018,Violence physique,Nouveau-Brunswick,Genre féminin,"Total, âge",,,,,,13,18.13
2018,Violence physique,Nouveau-Brunswick,"Total, genre",15 à 24 ans,,,,,,13,16.8
2018,Violence physique,Nouveau-Brunswick,Genre féminin,15 à 24 ans,,,,,,13,21.57
2018,Violence physique,Nouveau-Brunswick,"Total, genre",25 à 34 ans,,,,,,13,14.78
2018,Violence physique,Nouveau-Brunswick,Genre masculin,25 à 34 ans,,,,,,13,13.88
2018,Violence physique,Nouveau-Brunswick,Genre féminin,25 à 34 ans,,,,,,13,15.72
2018,Violence physique,Nouveau-Brunswick,"Total, genre",35 à 44 ans,,,,,,13,20.79
2018,Violence physique,Nouveau-Brunswick,Genre masculin,35 à 44 ans,,,,,,13,19.83
2018,Violence physique,Nouveau-Brunswick,Genre féminin,35 à 44 ans,,,,,,13,21.72
2018,Violence physique,Nouveau-Brunswick,"Total, genre",45 à 54 ans,,,,,,13,18.56
2018,Violence physique,Nouveau-Brunswick,Genre masculin,45 à 54 ans,,,,,,13,20.16
2018,Violence physique,Nouveau-Brunswick,Genre féminin,45 à 54 ans,,,,,,13,17.09
2018,Violence sexuelle,Nouveau-Brunswick,"Total, genre","Total, âge",,,,,,13,9.22
2018,Violence sexuelle,Nouveau-Brunswick,Genre masculin,"Total, âge",,,,,,13,5.28
2018,Violence sexuelle,Nouveau-Brunswick,Genre féminin,"Total, âge",,,,,,13,13.08
2018,Violence sexuelle,Nouveau-Brunswick,"Total, genre",35 à 44 ans,,,,,,13,9.64
2018,Violence sexuelle,Nouveau-Brunswick,Genre féminin,35 à 44 ans,,,,,,13,16.19
2018,Violence sexuelle,Nouveau-Brunswick,"Total, genre",45 à 54 ans,,,,,,13,11.02
2018,Violence sexuelle,Nouveau-Brunswick,Genre masculin,45 à 54 ans,,,,,,13,7.67
2018,Violence sexuelle,Nouveau-Brunswick,Genre féminin,45 à 54 ans,,,,,,13,14.28
2018,Violence physique ou sexuelle,Québec,"Total, genre","Total, âge",,,,,,24,25.11
2018,Violence physique ou sexuelle,Québec,Genre masculin,"Total, âge",,,,,,24,24.33
2018,Violence physique ou sexuelle,Québec,Genre féminin,"Total, âge",,,,,,24,25.79
2018,Violence physique ou sexuelle,Québec,"Total, genre",15 à 24 ans,,,,,,24,15.97
2018,Violence physique ou sexuelle,Québec,Genre masculin,15 à 24 ans,,,,,,24,12.82
2018,Violence physique ou sexuelle,Québec,Genre féminin,15 à 24 ans,,,,,,24,19.0
2018,Violence physique ou sexuelle,Québec,"Total, genre",25 à 34 ans,,,,,,24,21.19
2018,Violence physique ou sexuelle,Québec,Genre masculin,25 à 34 ans,,,,,,24,20.96
2018,Violence physique ou sexuelle,Québec,Genre féminin,25 à 34 ans,,,,,,24,21.42
2018,Violence physique ou sexuelle,Québec,"Total, genre",35 à 44 ans,,,,,,24,28.85
2018,Violence physique ou sexuelle,Québec,Genre masculin,35 à 44 ans,,,,,,24,27.66
2018,Violence physique ou sexuelle,Québec,Genre féminin,35 à 44 ans,,,,,,24,29.89
2018,Violence physique ou sexuelle,Québec,"Total, genre",45 à 54 ans,,,,,,24,30.87
2018,Violence physique ou sexuelle,Québec,Genre masculin,45 à 54 ans,,,,,,24,27.89
2018,Violence physique ou sexuelle,Québec,Genre féminin,45 à 54 ans,,,,,,24,33.92
2018,Violence physique,Québec,"Total, genre","Total, âge",,,,,,24,21.33
2018,Violence physique,Québec,Genre masculin,"Total, âge",,,,,,24,22.88
2018,Violence physique,Québec,Genre féminin,"Total, âge",,,,,,24,19.73
2018,Violence physique,Québec,"Total, genre",15 à 24 ans,,,,,,24,14.53
2018,Violence physique,Québec,Genre masculin,15 à 24 ans,,,,,,24,11.31
2018,Violence physique,Québec,Genre féminin,15 à 24 ans,,,,,,24,17.63
2018,Violence physique,Québec,"Total, genre",25 à 34 ans,,,,,,24,19.1
2018,Violence physique,Québec,Genre masculin,25 à 34 ans,,,,,,24,20.09
2018,Violence physique,Québec,Genre féminin,25 à 34 ans,,,,,,24,18.1
2018,Violence physique,Québec,"Total, genre",35 à 44 ans,,,,,,24,25.29
2018,Violence physique,Québec,Genre masculin,35 à 44 ans,,,,,,24,26.88
2018,Violence physique,Québec,Genre féminin,35 à 44 ans,,,,,,24,23.49
2018,Violence physique,Québec,"Total, genre",45 à 54 ans,,,,,,24,25.72
2018,Violence physique,Québec,Genre masculin,45 à 54 ans,,,,,,24,26.53
2018,Violence physique,Québec,Genre féminin,45 à 54 ans,,,,,,24,24.9
2018,Violence sexuelle,Québec,"Total, genre","Total, âge",,,,,,24,7.5
2018,Violence sexuelle,Québec,Genre masculin,"Total, âge",,,,,,24,3.54
2018,Violence sexuelle,Québec,Genre féminin,"Total, âge",,,,,,24,11.31
2018,Violence sexuelle,Québec,"Total, genre",25 à 34 ans,,,,,,24,4.26
2018,Violence sexuelle,Québec,Genre masculin,25 à 34 ans,,,,,,24,2.47
2018,Violence sexuelle,Québec,Genre féminin,25 à 34 ans,,,,,,24,6.07
2018,Violence sexuelle,Québec,"Total, genre",35 à 44 ans,,,,,,24,8.08
2018,Violence sexuelle,Québec,Genre masculin,35 à 44 ans,,,,,,24,3.05
2018,Violence sexuelle,Québec,Genre féminin,35 à 44 ans,,,,,,24,12.97
2018,Violence sexuelle,Québec,"Total, genre",45 à 54 ans,,,,,,24,10.67
2018,Violence sexuelle,Québec,Genre masculin,45 à 54 ans,,,,,,24,3.9
2018,Violence sexuelle,Québec,Genre féminin,45 à 54 ans,,,,,,24,17.61
2018,Violence physique ou sexuelle,Ontario,"Total, genre","Total, âge",,,,,,35,26.93
2018,Violence physique ou sexuelle,Ontario,Genre masculin,"Total, âge",,,,,,35,26.38
2018,Violence physique ou sexuelle,Ontario,Genre féminin,"Total, âge",,,,,,35,27.4
2018,Violence physique ou sexuelle,Ontario,"Total, genre",15 à 24 ans,,,,,,35,21.35
2018,Violence physique ou sexuelle,Ontario,Genre masculin,15 à 24 ans,,,,,,35,21.28
2018,Violence physique ou sexuelle,Ontario,Genre féminin,15 à 24 ans,,,,,,35,21.81
2018,Violence physique ou sexuelle,Ontario,"Total, genre",25 à 34 ans,,,,,,35,25.47
2018,Violence physique ou sexuelle,Ontario,Genre masculin,25 à 34 ans,,,,,,35,20.84
2018,Violence physique ou sexuelle,Ontario,Genre féminin,25 à 34 ans,,,,,,35,29.16
2018,Violence physique ou sexuelle,Ontario,"Total, genre",35 à 44 ans,,,,,,35,29.89
2018,Violence physique ou sexuelle,Ontario,Genre masculin,35 à 44 ans,,,,,,35,28.29
2018,Violence physique ou sexuelle,Ontario,Genre féminin,35 à 44 ans,,,,,,35,31.37
2018,Violence physique ou sexuelle,Ontario,"Total, genre",45 à 54 ans,,,,,,35,31.26
2018,Violence physique ou sexuelle,Ontario,Genre masculin,45 à 54 ans,,,,,,35,33.35
2018,Violence physique ou sexuelle,Ontario,Genre féminin,45 à 54 ans,,,,,,35,29.25
2018,Violence physique,Ontario,"Total, genre","Total, âge",,,,,,35,23.9
2018,Violence physique,Ontario,Genre masculin,"Total, âge",,,,,,35,25.22
2018,Violence physique,Ontario,Genre féminin,"Total, âge",,,,,,35,22.57
2018,Violence physique,Ontario,"Total, genre",15 à 24 ans,,,,,,35,19.79
2018,Violence physique,Ontario,Genre masculin,15 à 24 ans,,,,,,35,21.28
2018,Violence physique,Ontario,Genre féminin,15 à 24 ans,,,,,,35,18.54
2018,Violence physique,Ontario,"Total, genre",25 à 34 ans,,,,,,35,23.4
2018,Violence physique,Ontario,Genre masculin,25 à 34 ans,,,,,,35,20.06
2018,Violence physique,Ontario,Genre féminin,25 à 34 ans,,,,,,35,25.83
2018,Violence physique,Ontario,"Total, genre",35 à 44 ans,,,,,,35,26.08
2018,Violence physique,Ontario,Genre masculin,35 à 44 ans,,,,,,35,26.5
2018,Violence physique,Ontario,Genre féminin,35 à 44 ans,,,,,,35,25.6
2018,Violence physique,Ontario,"Total, genre",45 à 54 ans,,,,,,35,28.15
2018,Violence physique,Ontario,Genre masculin,45 à 54 ans,,,,,,35,31.57
2018,Violence physique,Ontario,Genre féminin,45 à 54 ans,,,,,,35,24.84
2018,Violence sexuelle,Ontario,"Total, genre","Total, âge",,,,,,35,7.01
2018,Violence sexuelle,Ontario,Genre masculin,"Total, âge",,,,,,35,3.48
2018,Violence sexuelle,Ontario,Genre féminin,"Total, âge",,,,,,35,10.44
2018,Violence sexuelle,Ontario,"Total, genre",15 à 24 ans,,,,,,35,3.54
2018,Violence sexuelle,Ontario,Genre féminin,15 à 24 ans,,,,,,35,6.27
2018,Violence sexuelle,Ontario,"Total, genre",25 à 34 ans,,,,,,35,4.45
2018,Violence sexuelle,Ontario,Genre masculin,25 à 34 ans,,,,,,35,1.38
2018,Violence sexuelle,Ontario,Genre féminin,25 à 34 ans,,,,,,35,7.5
2018,Violence sexuelle,Ontario,"Total, genre",35 à 44 ans,,,,,,35,8.85
2018,Violence sexuelle,Ontario,Genre masculin,35 à 44 ans,,,,,,35,4.99
2018,Violence sexuelle,Ontario,Genre féminin,35 à 44 ans,,,,,,35,12.61
2018,Violence sexuelle,Ontario,"Total, genre",45 à 54 ans,,,,,,35,9.07
2018,Violence sexuelle,Ontario,Genre masculin,45 à 54 ans,,,,,,35,5.49
2018,Violence sexuelle,Ontario,Genre féminin,45 à 54 ans,,,,,,35,12.57
2018,Violence physique ou sexuelle,Manitoba,"Total, genre","Total, âge",,,,,,46,26.25
2018,Violence physique ou sexuelle,Manitoba,Genre masculin,"Total, âge",,,,,,46,26.84
2018,Violence physique ou sexuelle,Manitoba,Genre féminin,"Total, âge",,,,,,46,25.85
2018,Violence physique ou sexuelle,Manitoba,"Total, genre",15 à 24 ans,,,,,,46,21.34
2018,Violence physique ou sexuelle,Manitoba,Genre masculin,15 à 24 ans,,,,,,46,28.15
2018,Violence physique ou sexuelle,Manitoba,Genre féminin,15 à 24 ans,,,,,,46,14.41
2018,Violence physique ou sexuelle,Manitoba,"Total, genre",25 à 34 ans,,,,,,46,19.88
2018,Violence physique ou sexuelle,Manitoba,Genre masculin,25 à 34 ans,,,,,,46,14.55
2018,Violence physique ou sexuelle,Manitoba,Genre féminin,25 à 34 ans,,,,,,46,25.51
2018,Violence physique ou sexuelle,Manitoba,"Total, genre",35 à 44 ans,,,,,,46,27.11
2018,Violence physique ou sexuelle,Manitoba,Genre masculin,35 à 44 ans,,,,,,46,29.27
2018,Violence physique ou sexuelle,Manitoba,Genre féminin,35 à 44 ans,,,,,,46,24.86
2018,Violence physique ou sexuelle,Manitoba,"Total, genre",45 à 54 ans,,,,,,46,34.09
2018,Violence physique ou sexuelle,Manitoba,Genre masculin,45 à 54 ans,,,,,,46,31.34
2018,Violence physique ou sexuelle,Manitoba,Genre féminin,45 à 54 ans,,,,,,46,37.44
2018,Violence physique,Manitoba,"Total, genre","Total, âge",,,,,,46,22.95
2018,Violence physique,Manitoba,Genre masculin,"Total, âge",,,,,,46,25.97
2018,Violence physique,Manitoba,Genre féminin,"Total, âge",,,,,,46,20.09
2018,Violence physique,Manitoba,"Total, genre",15 à 24 ans,,,,,,46,19.57
2018,Violence physique,Manitoba,Genre masculin,15 à 24 ans,,,,,,46,27.21
2018,Violence physique,Manitoba,Genre féminin,15 à 24 ans,,,,,,46,11.72
2018,Violence physique,Manitoba,"Total, genre",25 à 34 ans,,,,,,46,16.68
2018,Violence physique,Manitoba,Genre masculin,25 à 34 ans,,,,,,46,14.34
2018,Violence physique,Manitoba,Genre féminin,25 à 34 ans,,,,,,46,19.21
2018,Violence physique,Manitoba,"Total, genre",35 à 44 ans,,,,,,46,23.66
2018,Violence physique,Manitoba,Genre masculin,35 à 44 ans,,,,,,46,27.9
2018,Violence physique,Manitoba,Genre féminin,35 à 44 ans,,,,,,46,19.41
2018,Violence physique,Manitoba,"Total, genre",45 à 54 ans,,,,,,46,30.47
2018,Violence physique,Manitoba,Genre masculin,45 à 54 ans,,,,,,46,30.54
2018,Violence physique,Manitoba,Genre féminin,45 à 54 ans,,,,,,46,30.81
