Year,Groupe d'activité,Genre,Groupe d'âge,Géographie,GeoCode,Progress,Value
2015,"Total, activités de travail non-rémunéré",Hommes+,"Total, 15 ans et plus",Atlantique,1,,11.3
2015,"Total, activités de travail non-rémunéré",Femmes+,"Total, 15 ans et plus",Atlantique,1,,15.4
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",15 à 24 ans,Atlantique,1,1.16666666666667,5.8
2015,"Total, activités de travail non-rémunéré",Hommes+,15 à 24 ans,Atlantique,1,,5.4
2015,"Total, activités de travail non-rémunéré",Femmes+,15 à 24 ans,Atlantique,1,,6.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 54 ans,Atlantique,1,1.44247787610619,13.8
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 54 ans,Atlantique,1,,11.3
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 54 ans,Atlantique,1,,16.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 34 ans,Atlantique,1,1.79545454545455,12.5
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 34 ans,Atlantique,1,,8.8
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 34 ans,Atlantique,1,,15.8
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",35 à 44 ans,Atlantique,1,1.368,14.6
2015,"Total, activités de travail non-rémunéré",Hommes+,35 à 44 ans,Atlantique,1,,12.5
2015,"Total, activités de travail non-rémunéré",Femmes+,35 à 44 ans,Atlantique,1,,17.1
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",45 à 54 ans,Atlantique,1,1.39316239316239,14.2
2015,"Total, activités de travail non-rémunéré",Hommes+,45 à 54 ans,Atlantique,1,,11.7
2015,"Total, activités de travail non-rémunéré",Femmes+,45 à 54 ans,Atlantique,1,,16.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",55 à 64 ans,Atlantique,1,1.31578947368421,15.4
2015,"Total, activités de travail non-rémunéré",Hommes+,55 à 64 ans,Atlantique,1,,13.3
2015,"Total, activités de travail non-rémunéré",Femmes+,55 à 64 ans,Atlantique,1,,17.5
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",65 ans et plus,Atlantique,1,1.25563909774436,15.0
2015,"Total, activités de travail non-rémunéré",Hommes+,65 ans et plus,Atlantique,1,,13.3
2015,"Total, activités de travail non-rémunéré",Femmes+,65 ans et plus,Atlantique,1,,16.7
2015,Tâches ménagères,"Total, toutes les personnes","Total, 15 ans et plus",Atlantique,1,1.25301204819277,9.2
2015,Tâches ménagères,Hommes+,"Total, 15 ans et plus",Atlantique,1,,8.3
2015,Tâches ménagères,Femmes+,"Total, 15 ans et plus",Atlantique,1,,10.4
2015,Tâches ménagères,"Total, toutes les personnes",15 à 24 ans,Atlantique,1,1.21052631578947,4.2
2015,Tâches ménagères,Hommes+,15 à 24 ans,Atlantique,1,,4.6
2015,Tâches ménagères,Femmes+,15 à 24 ans,Atlantique,1,,3.8
2015,Tâches ménagères,"Total, toutes les personnes",25 à 54 ans,Atlantique,1,1.33333333333333,8.8
2015,Tâches ménagères,Hommes+,25 à 54 ans,Atlantique,1,,7.5
2015,Tâches ménagères,Femmes+,25 à 54 ans,Atlantique,1,,10.0
2015,Tâches ménagères,"Total, toutes les personnes",25 à 34 ans,Atlantique,1,1.46296296296296,6.7
2015,Tâches ménagères,Hommes+,25 à 34 ans,Atlantique,1,,5.4
2015,Tâches ménagères,Femmes+,25 à 34 ans,Atlantique,1,,7.9
2015,Tâches ménagères,"Total, toutes les personnes",35 à 44 ans,Atlantique,1,1.46478873239437,8.8
2015,Tâches ménagères,Hommes+,35 à 44 ans,Atlantique,1,,7.1
2015,Tâches ménagères,Femmes+,35 à 44 ans,Atlantique,1,,10.4
2015,Tâches ménagères,"Total, toutes les personnes",45 à 54 ans,Atlantique,1,1.21875,10.4
2015,Tâches ménagères,Hommes+,45 à 54 ans,Atlantique,1,,9.6
2015,Tâches ménagères,Femmes+,45 à 54 ans,Atlantique,1,,11.7
2015,Tâches ménagères,"Total, toutes les personnes",55 à 64 ans,Atlantique,1,1.19444444444444,12.1
2015,Tâches ménagères,Hommes+,55 à 64 ans,Atlantique,1,,10.8
2015,Tâches ménagères,Femmes+,55 à 64 ans,Atlantique,1,,12.9
