Year,Age group,Sex,Value
2011,50 years and over,Female,0.008
2012,50 years and over,Female,0.0078
2013,50 years and over,Female,0.0076
2014,50 years and over,Female,0.0078
2015,50 years and over,Female,0.0079
2016,50 years and over,Female,0.008
2017,50 years and over,Female,0.008
2018,50 years and over,Female,0.0085
2019,50 years and over,Female,0.0079
2020,50 years and over,Female,0.0068
2021,50 years and over,Female,0.0073
2022,50 years and over,Female,0.0079
2000,50 years and over,Male,0.042
2001,50 years and over,Male,0.041
2002,50 years and over,Male,0.041
2003,50 years and over,Male,0.041
2004,50 years and over,Male,0.04
2005,50 years and over,Male,0.039
2006,50 years and over,Male,0.039
2007,50 years and over,Male,0.038
2008,50 years and over,Male,0.037
2009,50 years and over,Male,0.035
2010,50 years and over,Male,0.032
2011,50 years and over,Male,0.029
2012,50 years and over,Male,0.028
2013,50 years and over,Male,0.026
2014,50 years and over,Male,0.026
2015,50 years and over,Male,0.025
2016,50 years and over,Male,0.024
2017,50 years and over,Male,0.024
2018,50 years and over,Male,0.022
2019,50 years and over,Male,0.02
2020,50 years and over,Male,0.016
2021,50 years and over,Male,0.017
2022,50 years and over,Male,0.017
2000,All ages,Female,0.036
2001,All ages,Female,0.036
2002,All ages,Female,0.036
2003,All ages,Female,0.035
2004,All ages,Female,0.035
2005,All ages,Female,0.035
2006,All ages,Female,0.034
2007,All ages,Female,0.034
2008,All ages,Female,0.034
2009,All ages,Female,0.032
2010,All ages,Female,0.03
2011,All ages,Female,0.028
2012,All ages,Female,0.027
2013,All ages,Female,0.026
2014,All ages,Female,0.027
2015,All ages,Female,0.028
2016,All ages,Female,0.029
2017,All ages,Female,0.03
2018,All ages,Female,0.032
2019,All ages,Female,0.031
2020,All ages,Female,0.027
2021,All ages,Female,0.03
2022,All ages,Female,0.033
2000,All ages,Male,0.13
2001,All ages,Male,0.13
2002,All ages,Male,0.12
2003,All ages,Male,0.12
2004,All ages,Male,0.12
2005,All ages,Male,0.12
2006,All ages,Male,0.12
2007,All ages,Male,0.11
2008,All ages,Male,0.11
2009,All ages,Male,0.1
2010,All ages,Male,0.096
2011,All ages,Male,0.087
2012,All ages,Male,0.082
2013,All ages,Male,0.077
2014,All ages,Male,0.077
2015,All ages,Male,0.077
2016,All ages,Male,0.077
2017,All ages,Male,0.077
2018,All ages,Male,0.075
2019,All ages,Male,0.068
2020,All ages,Male,0.058
2021,All ages,Male,0.061
2022,All ages,Male,0.064
