Year,Industry,Size,Value
2019,Machinery and equipment n.e.c.,20-49 employees,7.42100687294096
2019,"Motor vehicles, trailers and semi-trailers",20-49 employees,1.6619070453869
2019,Furniture,20-49 employees,10.1455482056364
2019,Other manufacturing,20-49 employees,13.2569890930747
2019,Total manufacturing,20-49 employees,7.19752799777909
2020,Food products,20-49 employees,7.10321940643267
2020,Beverages,20-49 employees,7.35629592081917
2020,Textiles,20-49 employees,17.4617924582772
2020,"Wood products, excluding furniture",20-49 employees,7.87725715897223
2020,Paper and paper products,20-49 employees,3.65700248903557
2020,Printing and reproduction of recorded media,20-49 employees,11.0283060613173
2020,Coke and refined petroleum products,20-49 employees,9.38980283558911
2020,Rubber and plastics products,20-49 employees,11.275691272632
2020,Other non-metallic mineral products,20-49 employees,14.7555890064325
2020,Basic metals,20-49 employees,3.2077624592103
2020,"Fabricated metal products, except machinery",20-49 employees,10.7370194412722
2020,"Computer, electronic and optical products",20-49 employees,5.82908629603547
2020,Electrical equipment,20-49 employees,11.6455748169111
2020,Machinery and equipment n.e.c.,20-49 employees,8.28255166435245
2020,"Motor vehicles, trailers and semi-trailers",20-49 employees,2.2757253036528
2020,Furniture,20-49 employees,10.1356945493818
2020,Other manufacturing,20-49 employees,13.8211322609486
2020,Total manufacturing,20-49 employees,7.93247957690728
2021,Food products,20-49 employees,5.6106799097085
2021,Beverages,20-49 employees,7.19130082427477
2021,Textiles,20-49 employees,18.2029574400551
2021,"Wood products, excluding furniture",20-49 employees,5.93029988568687
2021,Paper and paper products,20-49 employees,4.22980884742617
2021,Printing and reproduction of recorded media,20-49 employees,12.4705825383759
2021,Coke and refined petroleum products,20-49 employees,7.51358262829527
2021,Rubber and plastics products,20-49 employees,10.4101462027242
2021,Other non-metallic mineral products,20-49 employees,16.6563046616295
2021,Basic metals,20-49 employees,1.78613958860727
2021,"Fabricated metal products, except machinery",20-49 employees,11.5191798409398
2021,"Computer, electronic and optical products",20-49 employees,4.56886376282722
2021,Electrical equipment,20-49 employees,9.49163831402881
2021,Machinery and equipment n.e.c.,20-49 employees,7.42844654406598
2021,"Motor vehicles, trailers and semi-trailers",20-49 employees,2.01839946332405
2021,Furniture,20-49 employees,9.80802648247379
2021,Other manufacturing,20-49 employees,13.116911979112
2021,Total manufacturing,20-49 employees,7.02567941793233
2022,Food products,20-49 employees,5.8609132960743
2022,Beverages,20-49 employees,6.03381846016326
2022,Textiles,20-49 employees,15.8452065022311
2022,"Wood products, excluding furniture",20-49 employees,7.23015110112188
2022,Paper and paper products,20-49 employees,2.03823679002858
2022,Printing and reproduction of recorded media,20-49 employees,13.5578811053919
2022,Coke and refined petroleum products,20-49 employees,6.6777588119742
2022,Rubber and plastics products,20-49 employees,9.40972019593439
2022,Other non-metallic mineral products,20-49 employees,13.4336241556676
2022,Basic metals,20-49 employees,1.80339973912979
2022,"Fabricated metal products, except machinery",20-49 employees,13.1732171789373
2022,"Computer, electronic and optical products",20-49 employees,4.15358164400544
2022,Electrical equipment,20-49 employees,8.73325082092225
2022,Machinery and equipment n.e.c.,20-49 employees,8.0600151843222
2022,"Motor vehicles, trailers and semi-trailers",20-49 employees,1.6448111889236
2022,Furniture,20-49 employees,13.963062085434
2022,Other manufacturing,20-49 employees,13.420078366741
2022,Total manufacturing,20-49 employees,6.96580618479283
2023,Food products,20-49 employees,3.92981856281232
2023,Beverages,20-49 employees,3.23534118479718
2023,Textiles,20-49 employees,16.2771529982286
2023,"Wood products, excluding furniture",20-49 employees,8.97706547448831
2023,Paper and paper products,20-49 employees,2.46831508571891
2023,Printing and reproduction of recorded media,20-49 employees,11.2796107880638
2023,Coke and refined petroleum products,20-49 employees,7.22087181628171
2023,Rubber and plastics products,20-49 employees,10.0712690323079
2023,Other non-metallic mineral products,20-49 employees,14.7021029337693
2023,Basic metals,20-49 employees,2.06968872293645
2023,"Fabricated metal products, except machinery",20-49 employees,10.6233517422559
2023,"Computer, electronic and optical products",20-49 employees,3.85345388107074
2023,Electrical equipment,20-49 employees,7.8305338056467
2023,Machinery and equipment n.e.c.,20-49 employees,5.62681825911872
2023,"Motor vehicles, trailers and semi-trailers",20-49 employees,1.19236845310695
2023,Furniture,20-49 employees,10.7172299075453
2023,Other manufacturing,20-49 employees,11.1066905691465
2023,Total manufacturing,20-49 employees,6.23023886230572
2019,Food products,50-249 employees,40.01583764698
2019,Beverages,50-249 employees,23.0599166775535
2019,Textiles,50-249 employees,48.9779182262829
2019,"Wood products, excluding furniture",50-249 employees,70.4329799623327
2019,Paper and paper products,50-249 employees,42.1893010992116
2019,Printing and reproduction of recorded media,50-249 employees,50.9960960103695
2019,Coke and refined petroleum products,50-249 employees,35.0237135921031
2019,Rubber and plastics products,50-249 employees,48.352524404685
2019,Other non-metallic mineral products,50-249 employees,60.2357522284798
2019,Basic metals,50-249 employees,22.2747000743892
2019,"Fabricated metal products, except machinery",50-249 employees,55.1482474261715
2019,"Computer, electronic and optical products",50-249 employees,39.2123869330345
2019,Electrical equipment,50-249 employees,58.2397149073833
2019,Machinery and equipment n.e.c.,50-249 employees,48.9306083358024
2019,"Motor vehicles, trailers and semi-trailers",50-249 employees,15.1441245472041
2019,Furniture,50-249 employees,46.5263744667064
2019,Other manufacturing,50-249 employees,48.7285542831516
2019,Total manufacturing,50-249 employees,39.565587301056
2020,Food products,50-249 employees,39.4283669669949
2020,Beverages,50-249 employees,23.071644683021
2020,Textiles,50-249 employees,52.0580685348098
2020,"Wood products, excluding furniture",50-249 employees,74.5646344948193
2020,Paper and paper products,50-249 employees,47.2519725830915
2020,Printing and reproduction of recorded media,50-249 employees,53.458199555274
2020,Coke and refined petroleum products,50-249 employees,41.8971605264848
2020,Rubber and plastics products,50-249 employees,55.2732519867612
2020,Other non-metallic mineral products,50-249 employees,55.8067609549092
2020,Basic metals,50-249 employees,19.3407515086989
2020,"Fabricated metal products, except machinery",50-249 employees,56.8617700992436
2020,"Computer, electronic and optical products",50-249 employees,47.169534694839
2020,Electrical equipment,50-249 employees,50.762412679336
2020,Machinery and equipment n.e.c.,50-249 employees,50.4809347669035
2020,"Motor vehicles, trailers and semi-trailers",50-249 employees,17.754155615265
2020,Furniture,50-249 employees,54.5747386565961
2020,Other manufacturing,50-249 employees,43.3596281800996
2020,Total manufacturing,50-249 employees,43.2077844506935
2021,Food products,50-249 employees,39.0773287447608
2021,Beverages,50-249 employees,24.7759226669233
2021,Textiles,50-249 employees,53.2168618032237
2021,"Wood products, excluding furniture",50-249 employees,71.4179953220668
2021,Paper and paper products,50-249 employees,41.9109019928579
2021,Printing and reproduction of recorded media,50-249 employees,50.5298717230343
2021,Coke and refined petroleum products,50-249 employees,39.2336895514127
2021,Rubber and plastics products,50-249 employees,54.7146817904666
2021,Other non-metallic mineral products,50-249 employees,56.7496479022508
2021,Basic metals,50-249 employees,16.1996303289348
2021,"Fabricated metal products, except machinery",50-249 employees,53.1435251777658
2021,"Computer, electronic and optical products",50-249 employees,42.2027222445914
2021,Electrical equipment,50-249 employees,53.7489904413314
2021,Machinery and equipment n.e.c.,50-249 employees,48.8282171181431
2021,"Motor vehicles, trailers and semi-trailers",50-249 employees,19.204903191095
2021,Furniture,50-249 employees,50.3242289171266
2021,Other manufacturing,50-249 employees,47.9966395978524
2021,Total manufacturing,50-249 employees,42.3959817586085
2022,Food products,50-249 employees,38.172882169823
2022,Beverages,50-249 employees,24.8524434432532
2022,Textiles,50-249 employees,53.3281631055591
2022,"Wood products, excluding furniture",50-249 employees,69.4001630435132
2022,Paper and paper products,50-249 employees,43.9548884649241
2022,Printing and reproduction of recorded media,50-249 employees,52.0943992819309
2022,Coke and refined petroleum products,50-249 employees,31.5035860138206
2022,Rubber and plastics products,50-249 employees,52.9884961353372
2022,Other non-metallic mineral products,50-249 employees,58.3755972011609
2022,Basic metals,50-249 employees,22.9111538272367
2022,"Fabricated metal products, except machinery",50-249 employees,55.1467412590395
2022,"Computer, electronic and optical products",50-249 employees,36.5042163066599
2022,Electrical equipment,50-249 employees,56.5031718415394
2022,Machinery and equipment n.e.c.,50-249 employees,45.4028342810081
2022,"Motor vehicles, trailers and semi-trailers",50-249 employees,14.654671744694
2022,Furniture,50-249 employees,43.4939031502997
2022,Other manufacturing,50-249 employees,40.8492557484515
2022,Total manufacturing,50-249 employees,39.631781257721
2023,Food products,50-249 employees,35.876190393629
