Year,Series,Units,Education level,Age group,Sex,Location,COMMENT_OBS,Value
2021,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Female,,,0.58
2016,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Male,,,0.42
2021,Educational attainment rate,Adjusted location parity index,Completed Bachelor's or equivalent education or higher,,Male,,,0.42
2016,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,,,,0.42
2021,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,,,,0.42
2016,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Female,,,0.46
2021,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Female,,,0.47
2016,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Male,,,0.38
2021,Educational attainment rate,Adjusted location parity index,Completed Master's or equivalent education or higher,,Male,,,0.37
2016,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,,,,0.4
2021,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,,,,0.39
2016,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Female,,,0.45
2021,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Female,,,0.43
2016,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Male,,,0.36
2021,Educational attainment rate,Adjusted location parity index,Completed Doctoral or equivalent education,,Male,,,0.36
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.1
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.1
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.1
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.1
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.11
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.14
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.14
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.14
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-24 years old,,,,1.12
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.12
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.11
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.12
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.13
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.12
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.15
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.18
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.17
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,15-64 years old,,,,1.14
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.28
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.27
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.28
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.32
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.29
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.31
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.38
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.37
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,25-54 years old,,,,1.32
2015,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.38
2016,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.43
2017,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.25
2018,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.36
2019,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.23
2020,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.39
2021,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.12
2022,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.17
2023,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Adjusted gender parity index,,55-64 years old,,,,1.44
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Primary education,,,,,0.95
2019,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Primary education,,,,,1.11
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Lower secondary education,,,,,0.99
2018,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Lower secondary education,,,,,1.0
2022,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted gender parity index,Lower secondary education,,,,,0.99
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted location parity index,Primary education,,,,,0.84
2019,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted location parity index,Primary education,,,,,0.86
2018,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted location parity index,Lower secondary education,,,,,0.92
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Primary education,,,,,0.7
2019,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Primary education,,,,,0.73
2015,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Lower secondary education,,,,,0.82
2018,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Lower secondary education,,,,,0.81
2022,Proportion of students achieving at least a minimum proficiency level in mathematics,Adjusted wealth parity index,Lower secondary education,,,,,0.62
2016,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Primary education,,,,,1.01
2021,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Primary education,,,,,1.01
2015,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Lower secondary education,,,,,1.07
2018,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Lower secondary education,,,,,1.09
2022,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted gender parity index,Lower secondary education,,,,,1.09
2016,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted location parity index,Primary education,,,,,0.84
2021,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted location parity index,Primary education,,,,,1.0
2018,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted location parity index,Lower secondary education,,,,,0.91
2016,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Primary education,,,,,0.89
2021,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Primary education,,,,,0.98
2015,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Lower secondary education,,,,,0.86
2018,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Lower secondary education,,,,,0.85
2022,Proportion of students achieving at least a minimum proficiency level in reading,Adjusted wealth parity index,Lower secondary education,,,,,0.7
