Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières non résidentielles récupérées,10,0.0
2018,Île-du-Prince-Édouard,Toutes les matières,Toutes les sources des matières récupérées,11,373.015716640724
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,11,80.2185749282473
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,11,30.4809567907316
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,11,49.7376181375157
2018,Île-du-Prince-Édouard,Verre,Toutes les sources des matières récupérées,11,1.76015867699118
2018,Île-du-Prince-Édouard,Verre,Sources des matières résidentielles récupérées,11,0.669911138257837
2018,Île-du-Prince-Édouard,Verre,Sources des matières non résidentielles récupérées,11,1.09024753873334
2018,Île-du-Prince-Édouard,Métaux ferreux,Toutes les sources des matières récupérées,11,61.493901838315
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières résidentielles récupérées,11,23.3680767639351
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières non résidentielles récupérées,11,38.1258250743798
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Toutes les sources des matières récupérées,11,10.6726039183234
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières résidentielles récupérées,11,4.42666771750767
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières non résidentielles récupérées,11,6.24593620081572
2018,Île-du-Prince-Édouard,Métaux mélangés,Toutes les sources des matières récupérées,11,13.1617835398893
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières résidentielles récupérées,11,5.00463026816149
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières non résidentielles récupérées,11,8.15715327172778
2018,Île-du-Prince-Édouard,Électroménagers,Toutes les sources des matières récupérées,11,44.5950649879482
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières résidentielles récupérées,11,16.9448111441688
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières non résidentielles récupérées,11,27.6502538437793
2018,Île-du-Prince-Édouard,Matériel électronique,Toutes les sources des matières récupérées,11,3.00803236590284
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Matières plastiques,Toutes les sources des matières récupérées,11,6.16712312572656
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières résidentielles récupérées,11,2.34468898390243
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières non résidentielles récupérées,11,3.82243414182413
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Pneus,Toutes les sources des matières récupérées,11,15.4604982299897
2018,Île-du-Prince-Édouard,Pneus,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Pneus,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Toutes les matières organiques,Toutes les sources des matières récupérées,11,134.277776683152
2018,Île-du-Prince-Édouard,Toutes les matières organiques,Sources des matières résidentielles récupérées,11,105.845959844738
2018,Île-du-Prince-Édouard,Toutes les matières organiques,Sources des matières non résidentielles récupérées,11,28.4318168384135
2018,Île-du-Prince-Édouard,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,11,122.061750044332
2018,Île-du-Prince-Édouard,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,11,12.2160266388194
2018,Île-du-Prince-Édouard,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Autres matières organiques,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,Autres matières organiques,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Autres matières organiques,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Autres matières,Toutes les sources des matières récupérées,11,2.20019834623897
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières résidentielles récupérées,11,0.834105044693581
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières non résidentielles récupérées,11,1.36609330154539
2018,Nouvelle-Écosse,Toutes les matières,Toutes les sources des matières récupérées,12,329.172868558694
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,12,76.3581104116948
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,12,41.4407653481236
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,12,34.9173450635711
2018,Nouvelle-Écosse,Verre,Toutes les sources des matières récupérées,12,4.34894685636834
2018,Nouvelle-Écosse,Verre,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Verre,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Métaux ferreux,Toutes les sources des matières récupérées,12,5.75424708337837
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières résidentielles récupérées,12,5.33016239948777
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières non résidentielles récupérées,12,0.424084683890603
2018,Nouvelle-Écosse,Cuivre et aluminium,Toutes les sources des matières récupérées,12,0.472937576397608
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières résidentielles récupérées,12,0.440715455807881
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières non résidentielles récupérées,12,0.0322221205897272
2018,Nouvelle-Écosse,Métaux mélangés,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Électroménagers,Toutes les sources des matières récupérées,12,1.13920787633358
2018,Nouvelle-Écosse,Électroménagers,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Électroménagers,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matériel électronique,Toutes les sources des matières récupérées,12,3.29393226286598
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Matières plastiques,Toutes les sources des matières récupérées,12,15.6131765605901
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières résidentielles récupérées,12,11.1478143008008
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières non résidentielles récupérées,12,4.46536225978929
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,12,1.09555210005072
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,12,1.01031939397467
