Year,Géographie,Déchets ménagers dangereux,GeoCode,Value
2011,Ottawa-Gatineau (Quebec part),"Piles déchargées, excluant les batteries de voiture",,69.0
2011,Ottawa-Gatineau (Ontario part),Des restes de médicaments ou des médicaments périmés,,26.0
2011,Ottawa-Gatineau (Ontario part),Des objets médicaux piquants ou tranchants,,10.0
2011,Ottawa-Gatineau (Ontario part),Restes de peinture ou solvants,,30.0
2011,Ottawa-Gatineau (Ontario part),Huiles pour moteur ou de l'antigel,,13.0
2011,Ottawa-Gatineau (Ontario part),"Piles déchargées, excluant les batteries de voiture",,54.0
2011,"Kingston, Ontario",Des restes de médicaments ou des médicaments périmés,,32.0
2011,"Kingston, Ontario",Des objets médicaux piquants ou tranchants,,12.0
2011,"Kingston, Ontario",Restes de peinture ou solvants,,45.0
2011,"Kingston, Ontario",Huiles pour moteur ou de l'antigel,,17.0
2011,"Kingston, Ontario","Piles déchargées, excluant les batteries de voiture",,51.0
2011,"Peterborough, Ontario",Des restes de médicaments ou des médicaments périmés,,26.0
2011,"Peterborough, Ontario",Des objets médicaux piquants ou tranchants,,
2011,"Peterborough, Ontario",Restes de peinture ou solvants,,44.0
2011,"Peterborough, Ontario",Huiles pour moteur ou de l'antigel,,
2011,"Peterborough, Ontario","Piles déchargées, excluant les batteries de voiture",,49.0
2011,"Oshawa, Ontario",Des restes de médicaments ou des médicaments périmés,,37.0
2011,"Oshawa, Ontario",Des objets médicaux piquants ou tranchants,,
2011,"Oshawa, Ontario",Restes de peinture ou solvants,,35.0
2011,"Oshawa, Ontario",Huiles pour moteur ou de l'antigel,,13.0
2011,"Oshawa, Ontario","Piles déchargées, excluant les batteries de voiture",,40.0
2011,"Toronto, Ontario",Des restes de médicaments ou des médicaments périmés,,28.0
2011,"Toronto, Ontario",Des objets médicaux piquants ou tranchants,,7.0
2011,"Toronto, Ontario",Restes de peinture ou solvants,,30.0
2011,"Toronto, Ontario",Huiles pour moteur ou de l'antigel,,9.0
2011,"Toronto, Ontario","Piles déchargées, excluant les batteries de voiture",,51.0
2011,"Hamilton, Ontario",Des restes de médicaments ou des médicaments périmés,,33.0
2011,"Hamilton, Ontario",Des objets médicaux piquants ou tranchants,,9.0
2011,"Hamilton, Ontario",Restes de peinture ou solvants,,30.0
2011,"Hamilton, Ontario",Huiles pour moteur ou de l'antigel,,9.0
2011,"Hamilton, Ontario","Piles déchargées, excluant les batteries de voiture",,44.0
2011,"St. Catharines-Niagara, Ontario",Des restes de médicaments ou des médicaments périmés,,31.0
2011,"St. Catharines-Niagara, Ontario",Des objets médicaux piquants ou tranchants,,11.0
2011,"St. Catharines-Niagara, Ontario",Restes de peinture ou solvants,,43.0
2011,"St. Catharines-Niagara, Ontario",Huiles pour moteur ou de l'antigel,,17.0
2011,"St. Catharines-Niagara, Ontario","Piles déchargées, excluant les batteries de voiture",,46.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Des restes de médicaments ou des médicaments périmés,,24.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Des objets médicaux piquants ou tranchants,,7.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Restes de peinture ou solvants,,31.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Huiles pour moteur ou de l'antigel,,11.0
2011,"Kitchener-Cambridge-Waterloo, Ontario","Piles déchargées, excluant les batteries de voiture",,37.0
2011,"Brantford, Ontario",Des restes de médicaments ou des médicaments périmés,,34.0
2011,"Brantford, Ontario",Des objets médicaux piquants ou tranchants,,
2011,"Brantford, Ontario",Restes de peinture ou solvants,,39.0
2011,"Brantford, Ontario",Huiles pour moteur ou de l'antigel,,19.0
2011,"Brantford, Ontario","Piles déchargées, excluant les batteries de voiture",,42.0
2011,"Guelph, Ontario",Des restes de médicaments ou des médicaments périmés,,37.0
2011,"Guelph, Ontario",Des objets médicaux piquants ou tranchants,,
2011,"Guelph, Ontario",Restes de peinture ou solvants,,49.0
2011,"Guelph, Ontario",Huiles pour moteur ou de l'antigel,,
2011,"Guelph, Ontario","Piles déchargées, excluant les batteries de voiture",,69.0
2011,"London, Ontario",Des restes de médicaments ou des médicaments périmés,,35.0
2011,"London, Ontario",Des objets médicaux piquants ou tranchants,,7.0
2011,"London, Ontario",Restes de peinture ou solvants,,35.0
2011,"London, Ontario",Huiles pour moteur ou de l'antigel,,13.0
2011,"London, Ontario","Piles déchargées, excluant les batteries de voiture",,51.0
2011,"Windsor, Ontario",Des restes de médicaments ou des médicaments périmés,,32.0
2011,"Windsor, Ontario",Des objets médicaux piquants ou tranchants,,14.0
2011,"Windsor, Ontario",Restes de peinture ou solvants,,34.0
2011,"Windsor, Ontario",Huiles pour moteur ou de l'antigel,,13.0
2011,"Windsor, Ontario","Piles déchargées, excluant les batteries de voiture",,34.0
2011,"Barrie, Ontario",Des restes de médicaments ou des médicaments périmés,,31.0
2011,"Barrie, Ontario",Des objets médicaux piquants ou tranchants,,
2011,"Barrie, Ontario",Restes de peinture ou solvants,,39.0
2011,"Barrie, Ontario",Huiles pour moteur ou de l'antigel,,18.0
2011,"Barrie, Ontario","Piles déchargées, excluant les batteries de voiture",,45.0
2011,"Grand Sudbury, Ontario",Des restes de médicaments ou des médicaments périmés,,38.0
2011,"Grand Sudbury, Ontario",Des objets médicaux piquants ou tranchants,,
2011,"Grand Sudbury, Ontario",Restes de peinture ou solvants,,35.0
2011,"Grand Sudbury, Ontario",Huiles pour moteur ou de l'antigel,,23.0
2011,"Grand Sudbury, Ontario","Piles déchargées, excluant les batteries de voiture",,50.0
2011,"Thunder Bay, Ontario",Des restes de médicaments ou des médicaments périmés,,40.0
2011,"Thunder Bay, Ontario",Des objets médicaux piquants ou tranchants,,10.0
2011,"Thunder Bay, Ontario",Restes de peinture ou solvants,,37.0
2011,"Thunder Bay, Ontario",Huiles pour moteur ou de l'antigel,,18.0
2011,"Thunder Bay, Ontario","Piles déchargées, excluant les batteries de voiture",,56.0
2011,"Winnipeg, Manitoba",Des restes de médicaments ou des médicaments périmés,,23.0
2011,"Winnipeg, Manitoba",Des objets médicaux piquants ou tranchants,,7.0
2011,"Winnipeg, Manitoba",Restes de peinture ou solvants,,30.0
2011,"Winnipeg, Manitoba",Huiles pour moteur ou de l'antigel,,17.0
2011,"Winnipeg, Manitoba","Piles déchargées, excluant les batteries de voiture",,50.0
2011,"Regina, Saskatchewan",Des restes de médicaments ou des médicaments périmés,,42.0
2011,"Regina, Saskatchewan",Des objets médicaux piquants ou tranchants,,
2011,"Regina, Saskatchewan",Restes de peinture ou solvants,,36.0
2011,"Regina, Saskatchewan",Huiles pour moteur ou de l'antigel,,
2011,"Regina, Saskatchewan","Piles déchargées, excluant les batteries de voiture",,41.0
2011,"Saskatoon, Saskatchewan",Des restes de médicaments ou des médicaments périmés,,22.0
2011,"Saskatoon, Saskatchewan",Des objets médicaux piquants ou tranchants,,
2011,"Saskatoon, Saskatchewan",Restes de peinture ou solvants,,29.0
2011,"Saskatoon, Saskatchewan",Huiles pour moteur ou de l'antigel,,
2011,"Saskatoon, Saskatchewan","Piles déchargées, excluant les batteries de voiture",,32.0
2011,"Calgary, Alberta",Des restes de médicaments ou des médicaments périmés,,37.0
2011,"Calgary, Alberta",Des objets médicaux piquants ou tranchants,,8.0
2011,"Calgary, Alberta",Restes de peinture ou solvants,,36.0
2011,"Calgary, Alberta",Huiles pour moteur ou de l'antigel,,19.0
2011,"Calgary, Alberta","Piles déchargées, excluant les batteries de voiture",,45.0
2011,"Edmonton, Alberta",Des restes de médicaments ou des médicaments périmés,,38.0
2011,"Edmonton, Alberta",Des objets médicaux piquants ou tranchants,,6.0
2011,"Edmonton, Alberta",Restes de peinture ou solvants,,39.0
