Year,Distance-capacité de la zone de service de transport public,Géographie,Emplacement,Genre,Démographique et socio-économique,GeoCode,Value
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,9.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,"Total, genre",0 to 14 years,11124,6.6
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,"Total, genre",15 à 64 ans,11124,9.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,"Total, genre",15 à 19 ans,11124,6.3
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,"Total, genre",20 à 24 ans,11124,10.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,"Total, genre",65 ans et plus,11124,7.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,9.1
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Hommes+,0 to 14 years,11124,6.6
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Hommes+,15 à 64 ans,11124,10.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Hommes+,15 à 19 ans,11124,6.2
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Hommes+,20 à 24 ans,11124,10.5
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Hommes+,65 ans et plus,11124,7.8
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,8.9
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Femmes+,0 to 14 years,11124,6.6
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Femmes+,15 à 64 ans,11124,9.7
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Femmes+,15 à 19 ans,11124,6.4
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Femmes+,20 à 24 ans,11124,11.4
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Urbain,Femmes+,65 ans et plus,11124,8.1
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,0.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,"Total, genre",0 to 14 years,11124,0.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,"Total, genre",15 à 64 ans,11124,0.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,"Total, genre",15 à 19 ans,11124,0.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,"Total, genre",20 à 24 ans,11124,0.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,"Total, genre",65 ans et plus,11124,0.1
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,0.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,Hommes+,0 to 14 years,11124,0.0
2023,1000 mètres des arrêts de transport en commun à grande capacité uniquement,Canada,Rural,Hommes+,15 à 64 ans,11124,0.0
