Year,Type de patrimoine,Niveau de gouvernement,Géographie,GeoCode,Value
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,74.57351
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,154.88328
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,204.32828
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,100.83836
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,85.40779
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,584.21715
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,82.89795
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,785.22759
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,144.62995
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,75.3802
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,244.99786
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,151.6208
2020,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1120.16779
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,103.8016
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,85.33166
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,155.46603
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,162.36519
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,85.98865
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,94.86658
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,650.53052
