Year,État matrimonial,Groupe d'âge,Géographie,GeoCode,Value
2011,Marié,15 à 19 ans,Nouvelle-Écosse,12,0.21
2011,Marié,20 à 24 ans,Nouvelle-Écosse,12,4.57
2011,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,1.93
2011,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,16.04
2011,Marié ou vivant en union libre,15 à 19 ans,Nunavut,62,9.52
2011,Marié ou vivant en union libre,20 à 24 ans,Nunavut,62,43.42
2011,Marié,15 à 19 ans,Nunavut,62,0.68
2011,Marié,20 à 24 ans,Nunavut,62,5.69
2011,Vivant en union libre,15 à 19 ans,Nunavut,62,9.18
2011,Vivant en union libre,20 à 24 ans,Nunavut,62,38.08
2011,Marié ou vivant en union libre,15 à 19 ans,Ontario,35,1.41
2011,Marié ou vivant en union libre,20 à 24 ans,Ontario,35,16.14
2011,Marié,15 à 19 ans,Ontario,35,0.29
2011,Marié,20 à 24 ans,Ontario,35,6.52
2011,Vivant en union libre,15 à 19 ans,Ontario,35,1.11
2011,Vivant en union libre,20 à 24 ans,Ontario,35,9.62
2011,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,2.01
2011,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,19.14
2011,Marié,15 à 19 ans,Île-du-Prince-Édouard,11,0.11
2011,Marié,20 à 24 ans,Île-du-Prince-Édouard,11,5.41
2011,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,1.91
2011,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,11,13.74
2011,Marié ou vivant en union libre,15 à 19 ans,Québec,24,2.93
2011,Marié ou vivant en union libre,20 à 24 ans,Québec,24,26.39
2011,Marié,15 à 19 ans,Québec,24,0.28
2011,Marié,20 à 24 ans,Québec,24,4.1
2011,Vivant en union libre,15 à 19 ans,Québec,24,2.65
2011,Vivant en union libre,20 à 24 ans,Québec,24,22.28
2011,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,47,3.28
2011,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,47,27.4
2011,Marié,15 à 19 ans,Saskatchewan,47,0.33
2011,Marié,20 à 24 ans,Saskatchewan,47,9.44
2011,Vivant en union libre,15 à 19 ans,Saskatchewan,47,2.97
2011,Vivant en union libre,20 à 24 ans,Saskatchewan,47,17.97
2011,Marié ou vivant en union libre,15 à 19 ans,Yukon,60,3.74
2011,Marié ou vivant en union libre,20 à 24 ans,Yukon,60,27.23
2011,Marié,15 à 19 ans,Yukon,60,0.47
2011,Marié,20 à 24 ans,Yukon,60,5.16
2011,Vivant en union libre,15 à 19 ans,Yukon,60,3.27
2011,Vivant en union libre,20 à 24 ans,Yukon,60,22.07
2016,Marié ou vivant en union libre,15 à 19 ans,Alberta,48,2.11
2016,Marié ou vivant en union libre,20 à 24 ans,Alberta,48,25.09
2016,Marié,15 à 19 ans,Alberta,48,0.33
2016,Marié,20 à 24 ans,Alberta,48,8.72
2016,Vivant en union libre,15 à 19 ans,Alberta,48,1.78
2016,Vivant en union libre,20 à 24 ans,Alberta,48,16.36
2016,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,59,1.57
2016,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,59,17.72
2016,Marié,15 à 19 ans,Colombie-Britannique,59,0.18
2016,Marié,20 à 24 ans,Colombie-Britannique,59,5.09
2016,Vivant en union libre,15 à 19 ans,Colombie-Britannique,59,1.39
2016,Vivant en union libre,20 à 24 ans,Colombie-Britannique,59,12.63
2016,Marié ou vivant en union libre,15 à 19 ans,Canada,,1.66
2016,Marié ou vivant en union libre,20 à 24 ans,Canada,,18.78
2016,Marié,15 à 19 ans,Canada,,0.19
2016,Marié,20 à 24 ans,Canada,,5.03
2016,Vivant en union libre,15 à 19 ans,Canada,,1.47
2016,Vivant en union libre,20 à 24 ans,Canada,,13.75
2016,Marié ou vivant en union libre,15 à 19 ans,Manitoba,46,2.06
2016,Marié ou vivant en union libre,20 à 24 ans,Manitoba,46,21.96
2016,Marié,15 à 19 ans,Manitoba,46,0.29
2016,Marié,20 à 24 ans,Manitoba,46,8.23
2016,Vivant en union libre,15 à 19 ans,Manitoba,46,1.75
2016,Vivant en union libre,20 à 24 ans,Manitoba,46,13.74
