Year,Pays d'origine,Value
2011 to 2015,Finlande,0.36498098677172
2016 to 2021,Finlande,0.180470070392351
1980 to 1990,Irlande,0.0
1991 to 2000,Irlande,0.39446694367012
2001 to 2010,Irlande,0.0
2011 to 2015,Irlande,0.0
2016 to 2021,Irlande,0.298303221446092
1980 to 1990,Norvège,0.0
1991 to 2000,Norvège,0.445346320225826
2001 to 2010,Norvège,0.30680010153038
2011 to 2015,Norvège,0.192686358056342
2016 to 2021,Norvège,1.01698447277352
1980 to 1990,Suède,0.350524720901994
1991 to 2000,Suède,0.563561192770502
2001 to 2010,Suède,0.26657405528554
2011 to 2015,Suède,0.408183195475412
2016 to 2021,Suède,0.288013967525369
1980 to 1990,Royaume-Uni,0.252754117813436
1991 to 2000,Royaume-Uni,0.321720204746802
2001 to 2010,Royaume-Uni,0.357104833980534
2011 to 2015,Royaume-Uni,0.175888783228163
2016 to 2021,Royaume-Uni,0.295556345807545
1980 to 1990,Albanie,0.305066297007666
1991 to 2000,Albanie,28.8911254514238
2001 to 2010,Albanie,65.855663834475
2011 to 2015,Albanie,13.9701562967289
2016 to 2021,Albanie,21.050892110494
1980 to 1990,Bosnie-Herzégovine,0.561964826846274
1991 to 2000,Bosnie-Herzégovine,558.908755755081
2001 to 2010,Bosnie-Herzégovine,24.6563100546727
2011 to 2015,Bosnie-Herzégovine,0.710516828520032
2016 to 2021,Bosnie-Herzégovine,1.0786015468687
1980 to 1990,Croatie,1.55114417047447
1991 to 2000,Croatie,150.255694338834
2001 to 2010,Croatie,11.5072377619655
2011 to 2015,Croatie,0.478040207244771
2016 to 2021,Croatie,5.73272506997109
1980 to 1990,Grèce,1.4621825492022
1991 to 2000,Grèce,5.88875174228226
2001 to 2010,Grèce,1.93260424714503
2011 to 2015,Grèce,2.17167557477206
2016 to 2021,Grèce,0.614388448136068
1980 to 1990,Italie,0.797799007550308
1991 to 2000,Italie,0.61111303999727
2001 to 2010,Italie,0.199453719531803
2011 to 2015,Italie,0.0990501486940832
2016 to 2021,Italie,0.159050531944504
1980 to 1990,Malte,6.79471534219545
1991 to 2000,Malte,7.50140651372132
2001 to 2010,Malte,2.36596511857626
2011 to 2015,Malte,0.0
2016 to 2021,Malte,0.0
1980 to 1990,Monténégro,0.0
1991 to 2000,Monténégro,54.3702233985802
2001 to 2010,Monténégro,8.70055612372824
2011 to 2015,Monténégro,0.0
2016 to 2021,Monténégro,1.65601161195342
1980 to 1990,Macédoine du Nord,0.726848247895956
1991 to 2000,Macédoine du Nord,12.1506535228997
2001 to 2010,Macédoine du Nord,10.2353397036138
2011 to 2015,Macédoine du Nord,1.51484854544243
2016 to 2021,Macédoine du Nord,0.540214221949714
1980 to 1990,Portugal,1.35139748013421
1991 to 2000,Portugal,2.47971025703947
2001 to 2010,Portugal,1.08708238902898
2011 to 2015,Portugal,0.0
2016 to 2021,Portugal,0.0
1980 to 1990,Serbie,1.20639684945018
1991 to 2000,Serbie,41.3105821148173
2001 to 2010,Serbie,5.47573340857847
2011 to 2015,Serbie,0.417985468874503
2016 to 2021,Serbie,0.438887799796941
1980 to 1990,Slovénie,1.00098747414324
1991 to 2000,Slovénie,18.3677279523103
2001 to 2010,Slovénie,1.46724952338845
2011 to 2015,Slovénie,0.0
2016 to 2021,Slovénie,0.0
1980 to 1990,Espagne,0.191889206549388
1991 to 2000,Espagne,0.231595081013117
2001 to 2010,Espagne,0.0747216514407247
2011 to 2015,Espagne,0.0856829636948859
2016 to 2021,Espagne,0.0942690522756146
1980 to 1990,Bénin,0.378680370856834
1991 to 2000,Bénin,0.138472912413529
2001 to 2010,Bénin,1.17375695820986
2011 to 2015,Bénin,0.440112524449351
2016 to 2021,Bénin,0.559138515160705
1980 to 1990,Burkina Faso,0.0
1991 to 2000,Burkina Faso,0.167706931801263
2001 to 2010,Burkina Faso,0.834537075793214
2011 to 2015,Burkina Faso,0.319530554230539
2016 to 2021,Burkina Faso,0.409177710562509
1980 to 1990,Côte d'Ivoire,0.0
1991 to 2000,Côte d'Ivoire,0.847498134656606
2001 to 2010,Côte d'Ivoire,1.91208886837667
2011 to 2015,Côte d'Ivoire,1.96064160511193
2016 to 2021,Côte d'Ivoire,1.93992563134838
1980 to 1990,Gambie,0.948131966695917
1991 to 2000,Gambie,4.46689498226814
2001 to 2010,Gambie,3.11414994476277
2011 to 2015,Gambie,2.47237236265297
2016 to 2021,Gambie,3.68773859911351
1980 to 1990,Ghana,1.78630312778105
1991 to 2000,Ghana,13.6966931956508
2001 to 2010,Ghana,2.53183045709216
2011 to 2015,Ghana,0.557564578828349
2016 to 2021,Ghana,0.999416033523796
1980 to 1990,Guinée,0.0
1991 to 2000,Guinée,3.61840148157525
2001 to 2010,Guinée,8.80061471572427
2011 to 2015,Guinée,3.44168991223691
2016 to 2021,Guinée,2.55272042321479
1980 to 1990,Guinée-Bissau,0.0
1991 to 2000,Guinée-Bissau,0.0
2001 to 2010,Guinée-Bissau,2.23444927050019
2011 to 2015,Guinée-Bissau,0.0
2016 to 2021,Guinée-Bissau,0.0
1980 to 1990,Libéria,0.899407155773272
1991 to 2000,Libéria,7.68353008008117
2001 to 2010,Libéria,28.0786102565745
2011 to 2015,Libéria,6.00895634943884
2016 to 2021,Libéria,2.85199676849753
1980 to 1990,Mali,0.0
1991 to 2000,Mali,0.951606443604061
2001 to 2010,Mali,0.877999575800776
2011 to 2015,Mali,0.134458865187616
2016 to 2021,Mali,1.16129023901385
1980 to 1990,Mauritanie,0.0
1991 to 2000,Mauritanie,0.765268591100347
2001 to 2010,Mauritanie,10.320481925224
2011 to 2015,Mauritanie,1.13464347673924
2016 to 2021,Mauritanie,3.06228939500672
1980 to 1990,Niger,0.0
1991 to 2000,Niger,0.0
2001 to 2010,Niger,0.302135168083383
2011 to 2015,Niger,0.300909378231955
2016 to 2021,Niger,0.367313505750293
1980 to 1990,Nigéria,0.0669268301321887
1991 to 2000,Nigéria,0.87036613312326
2001 to 2010,Nigéria,1.68321184399305
2011 to 2015,Nigéria,1.31900249447759
2016 to 2021,Nigéria,1.81894507623957
1980 to 1990,Sénégal,0.194286978446321
1991 to 2000,Sénégal,0.802540844313095
2001 to 2010,Sénégal,2.1368058274652
2011 to 2015,Sénégal,0.890809962448591
2016 to 2021,Sénégal,1.33557116993102
1980 to 1990,Sierra Leone,0.0
1991 to 2000,Sierra Leone,7.57242430485993
2001 to 2010,Sierra Leone,19.8427075800268
